mix_id,mix_label,n_tasks,goal,rank,excluded,scheduler,dispatch_order,goal_value,makespan_cycles,mean_turnaround_cycles,mean_wait_cycles,max_turnaround_cycles,max_wait_cycles,weighted_score,luts,ffs,power_dynamic_w,fmax_mhz_post_synth,mean_turnaround_us,throughput_tasks_per_s,energy_uJ,hw_status,timing_source,hw_source,note
mix1,Workload mix 1,3,makespan,1,False,HRRN,T0->T2->T1,58596.000000,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,2,False,SJF,T0->T2->T1,58596.000000,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,3,False,SRTF,T0->T2->T1,58596.000000,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,4,False,AIMT,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,makespan,5,False,BATCHDNN,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,makespan,6,False,BATCHDNN_PP,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,makespan,7,False,EDF,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,8,False,FIFO,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,9,False,LRU,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,10,False,MLFQ,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,11,False,MLQ,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,12,False,RR,T0->T1->T2,58596.000000,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,13,False,LIFO,T2->T1->T0,58596.000000,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,makespan,14,False,PRI,T2->T1->T0,58596.000000,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,1,False,HRRN,T0->T2->T1,26322.666667,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,2,False,SJF,T0->T2->T1,26322.666667,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,3,False,SRTF,T0->T2->T1,26322.666667,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,4,False,AIMT,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,turnaround,5,False,BATCHDNN,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,turnaround,6,False,BATCHDNN_PP,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,turnaround,7,False,EDF,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,8,False,FIFO,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,9,False,LRU,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,10,False,MLFQ,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
