mix_id,mix_label,mix_name,task_id,dnn,domain,n_layers,total_macs,total_macs_millions,model_compute_cycles,model_prefetch_beats,declared_priority,declared_deadline,source
mix1,Workload mix 1,Mix 1: Edge Classification,0,MobileNetV2,Edge,4,24477696,24.478,4484,4506624,0,1000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix1,Workload mix 1,Mix 1: Edge Classification,1,ResNet-18,Edge,4,289013760,289.014,42708,55566336,1,2000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix1,Workload mix 1,Mix 1: Edge Classification,2,EfficientDet-Lite0,Edge,4,36659200,36.659,11404,7802880,2,3000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix2,Workload mix 2,Mix 2: Edge Heterogeneous,0,DS-CNN-KWS,Edge,4,50586624,50.587,10569,10211424,0,1000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix2,Workload mix 2,Mix 2: Edge Heterogeneous,1,TinyBERT,Edge,4,27262976,27.263,1876,6815744,1,2000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix2,Workload mix 2,Mix 2: Edge Heterogeneous,2,U-Net,Edge,4,228851712,228.852,65172,40525824,2,3000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix2,Workload mix 2,Mix 2: Edge Heterogeneous,3,SSD-MobileNet,Edge,4,26707968,26.708,6420,8173056,3,4000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix3,Workload mix 3,Mix 3: Cloud NLP + Vision,0,ResNet-50,Cloud,4,1104674816,1104.675,64532,223698944,0,1000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix3,Workload mix 3,Mix 3: Cloud NLP + Vision,1,BERT-Large,Cloud,4,83886080,83.886,3668,20971520,1,2000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix3,Workload mix 3,Mix 3: Cloud NLP + Vision,2,3D-UNet,Cloud,4,231211008,231.211,131412,40943616,2,3000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix4,Workload mix 4,Mix 4: Cloud Heterogeneous,0,VGG-16,Cloud,4,462422016,462.422,57108,90660864,0,1000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix4,Workload mix 4,Mix 4: Cloud Heterogeneous,1,DLRM,Cloud,4,19922944,19.923,1620,4980736,1,2000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix4,Workload mix 4,Mix 4: Cloud Heterogeneous,2,RNN-T,Cloud,4,17825792,17.826,1876,4456448,2,3000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
mix4,Workload mix 4,Mix 4: Cloud Heterogeneous,3,GPT-2/Transformer,Cloud,4,94371840,94.372,5460,23592960,3,4000,workload definition (scripts/workloads.py) + model (estimate_cycles / prefetch_traffic)
