workload_mix,scheduler,scheduler_label,off_chip_accesses,speedup,throughput_norm,energy_normalized,domain,provenance
Workload mix 1,FIFO,FIFO,2725.4208,1.0,1.0,1.0,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,LIFO,LIFO,2802.6816,0.975032006270954,0.975032006270954,1.0254310050369062,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,SJF,SJF,2735.0784,1.1404106222788482,1.1404106222788482,1.0031788756296134,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,RR,RR,2764.0512000000003,1.0486677363185226,1.0486677363185226,1.012715502518453,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,PRI,Priority,2735.0784,1.0915413987571532,1.0915413987571532,1.0031788756296134,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,EDF,EDF,2735.0784,1.1176374552686452,1.1176374552686452,1.0031788756296134,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,LRU,LRU,2715.7632000000003,1.0620993156771545,1.0620993156771545,0.9968211243703867,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,AIMT,AI-MT,2686.7904,1.1942535985428384,1.1942535985428384,0.9872844974815469,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,BATCHDNN,BATCH-DNN,2667.4752000000003,1.249529728295572,1.249529728295572,0.9809267462223202,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 1,BATCHDNN_PP,BATCH-DNN++,2657.8176000000003,1.2950730487656736,1.2950730487656736,0.977747870592707,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,FIFO,FIFO,2936.9056,1.0,1.0,1.0,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,LIFO,LIFO,3119.9008,0.9483484156152425,0.9483484156152425,1.0565744224116695,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,SJF,SJF,2952.3424,1.1433072742640438,1.1433072742640438,1.0047724095707673,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,RR,RR,3021.792,1.039830776646358,1.039830776646358,1.0262433061118867,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,PRI,Priority,2952.3424,1.0943457132936438,1.0943457132936438,1.0047724095707673,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,EDF,EDF,2949.0368,1.122107408302821,1.122107408302821,1.0037504570237932,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,LRU,LRU,2881.8016000000002,1.0823664462686,1.0823664462686,0.9829641598655449,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,AIMT,AI-MT,2812.352,1.2485699937648496,1.2485699937648496,0.9614932633244253,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,BATCHDNN,BATCH-DNN,2759.66144,1.3324253980061218,1.3324253980061218,0.9452035573728625,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 2,BATCHDNN_PP,BATCH-DNN++,2732.9856,1.3989141624570576,1.3989141624570576,0.9369565091423838,Edge,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,FIFO,FIFO,6107.936,1.0,1.0,1.0,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,LIFO,LIFO,6643.692800000001,0.9859833294180467,0.9859833294180467,1.0726391837612035,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,SJF,SJF,6167.5328,1.0814544876125107,1.0814544876125107,1.0080802761752714,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,RR,RR,6369.2608,1.0382155313594563,1.0382155313594563,1.0354310391740427,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,PRI,Priority,6167.5328,1.0586328854842764,1.0586328854842764,1.0080802761752714,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,EDF,EDF,6164.256,1.072816135049186,1.072816135049186,1.007635999821992,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,LRU,LRU,6009.017599999999,1.0511219654951984,1.0511219654951984,0.9865884075853741,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,AIMT,AI-MT,5807.2896,1.1639930423435496,1.1639930423435496,0.959237644586603,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,BATCHDNN,BATCH-DNN,5666.46912,1.220771799088842,1.220771799088842,0.9401448683044151,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 3,BATCHDNN_PP,BATCH-DNN++,5595.7312,1.2662670192758803,1.2662670192758803,0.9305540525279932,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 4,FIFO,FIFO,5355.2128,1.0,1.0,1.0,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 4,LIFO,LIFO,5599.5392,0.9882415557023034,0.9882415557023034,1.0415093683130077,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 4,SJF,SJF,5377.92,1.1014982483325924,1.1014982483325924,1.0038577964892748,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 4,RR,RR,5470.4128,1.0553027046637307,1.0553027046637307,1.019571684556636,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
Workload mix 4,PRI,Priority,5377.92,1.076547834019702,1.076547834019702,1.0038577964892748,Cloud,ASSUMED constant-factor table (run_full_eval.py:295 SCHEDULER_MODEL) -- no derivation and no measurement behind it; workload-independent by construction
