scheduler,label,fmax_mhz_measured,assumed_clock_mhz,optimism_factor,wns_ns,constraint_ns,source
MLQ,MLQ,112.4,1000.0,8.9,1.100,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
LIFO,LIFO,111.1,1000.0,9.0,0.999,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
FIFO,FIFO,106.6,1000.0,9.4,0.621,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
RR,Round-Robin,93.4,1000.0,10.7,-0.704,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
MLFQ,MLFQ,90.9,1000.0,11.0,-0.996,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
AIMT,AI-MT,86.7,1000.0,11.5,-1.540,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
PRI,Priority,41.7,1000.0,24.0,-13.972,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
SRTF,SRTF,21.1,1000.0,47.4,-37.416,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
SJF,SJF,20.3,1000.0,49.3,-39.305,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
LRU,LRU,19.2,1000.0,52.1,-42.190,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
EDF,EDF,19.0,1000.0,52.6,-42.683,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
BATCHDNN,BATCH-DNN,10.7,1000.0,93.5,-83.771,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
HRRN,HRRN,6.5,1000.0,153.8,-144.083,10.000,measured (Vivado post-synthesis estimate: 1000 / (constraint_ns - WNS)) vs run_full_eval.py:80 CLOCK_GHZ = 1.0
