scheduler,sched_select,family,total_cycles,array_util_pct,dma_util_pct,overlap_pct,mt_tasks,ct_tasks,inferences,bytes_moved,layers_completed,layers_expected,incomplete,timed_out,workload_mix,mem_compute_ratio,dram_bw,batch,speedup_vs_fifo
FIFO,0,basic,129104,45.5354,54.3926,0.0,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.0
SJF,2,basic,129104,45.5354,54.3926,0.0,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.0
RR,3,basic,129104,45.5354,54.3926,0.0,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.0
AI-MT,11,DNN-aware,77496,75.8594,90.615,66.5338,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.6659440487250954
BATCH-DNN,12,DNN-aware,77496,75.8594,90.615,66.5338,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.6659440487250954
BATCH-DNN++,13,DNN-aware,77400,75.9535,90.7274,66.7339,12,12,12,4477376,12,12,False,False,Workload mix 1,1.1939210867636016,64,1,1.6680103359173126
FIFO,0,basic,156188,53.9689,45.951,0.0,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.0
SJF,2,basic,156188,53.9689,45.951,0.0,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.0
RR,3,basic,156188,53.9689,45.951,0.0,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.0
AI-MT,11,DNN-aware,96531,87.3222,74.3492,61.7294,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.6180087225865265
BATCH-DNN,12,DNN-aware,96531,87.3222,74.3492,61.7294,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.6180087225865265
BATCH-DNN++,13,DNN-aware,96405,87.4363,74.4463,61.9356,16,16,16,4570720,16,16,False,False,Workload mix 2,0.8498340016897319,64,1,1.6201234375810383
FIFO,0,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.0
SJF,2,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.0
RR,3,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.0
AI-MT,11,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.405683107813182
BATCH-DNN,12,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.405683107813182
BATCH-DNN++,13,DNN-aware,229100,87.2126,53.3151,40.5382,12,12,12,7800384,12,12,False,False,Workload mix 3,0.6105895437148067,64,1,1.405683107813182
FIFO,0,basic,217949,30.4291,69.5135,0.0,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.0
SJF,2,basic,217949,30.4291,69.5135,0.0,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.0
RR,3,basic,217949,30.4291,69.5135,0.0,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.0
AI-MT,11,DNN-aware,152393,43.5191,99.4166,42.981,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.4301772391120326
BATCH-DNN,12,DNN-aware,152393,43.5191,99.4166,42.981,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.4301772391120326
BATCH-DNN++,13,DNN-aware,152393,43.5191,99.4166,42.981,16,16,16,9673728,16,16,False,False,Workload mix 4,2.2879631872124,64,1,1.4301772391120326
FIFO,0,basic,176686,75.3653,24.6001,0.0,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.0
SJF,2,basic,176686,75.3653,24.6001,0.0,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.0
RR,3,basic,176686,75.3653,24.6001,0.0,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.0
AI-MT,11,DNN-aware,147306,90.3969,29.5066,19.9299,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.1994487665132445
BATCH-DNN,12,DNN-aware,147306,90.3969,29.5066,19.9299,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.1994487665132445
BATCH-DNN++,13,DNN-aware,147306,90.3969,29.5066,19.9299,8,8,8,2770496,8,8,False,False,Workload mix 5,0.32540291057790605,64,1,1.1994487665132445
FIFO,0,basic,347913,61.7617,38.184,0.0,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.0
SJF,2,basic,347913,61.7617,38.184,0.0,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.0
RR,3,basic,347913,61.7617,38.184,0.0,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.0
AI-MT,11,DNN-aware,264389,81.273,50.2468,31.5562,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.3159132944260161
BATCH-DNN,12,DNN-aware,264389,81.273,50.2468,31.5562,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.3159132944260161
BATCH-DNN++,13,DNN-aware,263863,81.4351,50.347,31.8108,24,24,24,8468384,24,24,False,False,Workload mix 6,0.6168895954646538,64,1,1.3185365132663542
