scheduler,sched_select,family,total_cycles,array_util_pct,dma_util_pct,overlap_pct,mt_tasks,ct_tasks,inferences,bytes_moved,layers_completed,layers_expected,incomplete,timed_out,workload_mix,dram_bw,batch,mem_compute_ratio,speedup_vs_fifo
FIFO,0,basic,1175209,17.0016,82.9905,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.0
SJF,2,basic,1175209,17.0016,82.9905,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.0
RR,3,basic,1175209,17.0016,82.9905,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.0
AI-MT,11,DNN-aware,1049141,19.0445,92.9629,12.0135,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.1201630667374547
BATCH-DNN,12,DNN-aware,1049141,19.0445,92.9629,12.0135,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.1201630667374547
BATCH-DNN++,13,DNN-aware,1049141,19.0445,92.9629,12.0135,12,12,12,7800384,12,12,False,False,Workload mix 3,8,1,4.884716349718453,1.1201630667374547
FIFO,0,basic,687685,29.0546,70.9319,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.0
SJF,2,basic,687685,29.0546,70.9319,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.0
RR,3,basic,687685,29.0546,70.9319,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.0
AI-MT,11,DNN-aware,561617,35.5766,86.8542,22.4413,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.2244732620273246
BATCH-DNN,12,DNN-aware,561617,35.5766,86.8542,22.4413,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.2244732620273246
BATCH-DNN++,13,DNN-aware,561617,35.5766,86.8542,22.4413,12,12,12,7800384,12,12,False,False,Workload mix 3,16,1,2.4423581748592267,1.2244732620273246
FIFO,0,basic,443923,45.0087,54.9703,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.0
SJF,2,basic,443923,45.0087,54.9703,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.0
RR,3,basic,443923,45.0087,54.9703,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.0
AI-MT,11,DNN-aware,322591,61.9373,75.6456,37.5981,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.3761171266402348
BATCH-DNN,12,DNN-aware,322591,61.9373,75.6456,37.5981,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.3761171266402348
BATCH-DNN++,13,DNN-aware,322591,61.9373,75.6456,37.5981,12,12,12,7800384,12,12,False,False,Workload mix 3,32,1,1.2211790874296133,1.3761171266402348
FIFO,0,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.0
SJF,2,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.0
RR,3,basic,322042,62.0428,37.9283,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.0
AI-MT,11,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.405683107813182
BATCH-DNN,12,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.405683107813182
BATCH-DNN++,13,DNN-aware,229100,87.2126,53.3151,40.5382,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,0.6105895437148067,1.405683107813182
FIFO,0,basic,261102,76.5234,23.441,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.0
SJF,2,basic,261102,76.5234,23.441,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.0
RR,3,basic,261102,76.5234,23.441,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.0
AI-MT,11,DNN-aware,203659,98.1071,30.0527,28.1888,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.2820548073004385
BATCH-DNN,12,DNN-aware,203659,98.1071,30.0527,28.1888,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.2820548073004385
BATCH-DNN++,13,DNN-aware,203659,98.1071,30.0527,28.1888,12,12,12,7800384,12,12,False,False,Workload mix 3,128,1,0.30529477185740334,1.2820548073004385
FIFO,0,basic,230632,86.6333,13.3264,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,256,1,0.15264738592870167,1.0
SJF,2,basic,230632,86.6333,13.3264,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,256,1,0.15264738592870167,1.0
RR,3,basic,230632,86.6333,13.3264,0.0,12,12,12,7800384,12,12,False,False,Workload mix 3,256,1,0.15264738592870167,1.0
