scheduler,sched_select,family,total_cycles,array_util_pct,dma_util_pct,overlap_pct,mt_tasks,ct_tasks,inferences,bytes_moved,layers_completed,layers_expected,incomplete,timed_out,workload_mix,dram_bw,batch,speedup_vs_fifo
FIFO,0,basic,331621,61.2075,38.7693,0.0,13,13,13,8209984,12,12,False,False,Workload mix 3,64,1,1.0
SJF,2,basic,331621,61.2075,38.7693,0.0,13,13,13,8209984,12,12,False,False,Workload mix 3,64,1,1.0
AI-MT,11,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,1.4474945438673068
BATCH-DNN,12,DNN-aware,229100,87.2126,53.3151,40.5404,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,1.4474945438673068
BATCH-DNN++,13,DNN-aware,229100,87.2126,53.3151,40.5382,12,12,12,7800384,12,12,False,False,Workload mix 3,64,1,1.4474945438673068
FIFO,0,basic,662671,61.2289,38.7595,0.0,13,13,13,16419968,12,12,False,False,Workload mix 3,64,2,1.0
SJF,2,basic,662671,61.2289,38.7595,0.0,13,13,13,16419968,12,12,False,False,Workload mix 3,64,2,1.0
AI-MT,11,DNN-aware,457897,87.2284,53.2928,40.5264,12,12,12,15600768,12,12,False,False,Workload mix 3,64,2,1.4472053758814756
BATCH-DNN,12,DNN-aware,419571,95.1963,43.7554,38.9576,12,12,24,11732544,12,12,False,False,Workload mix 3,64,2,1.5794013408934364
BATCH-DNN++,13,DNN-aware,419571,95.1963,43.7554,38.9576,12,12,24,11732544,12,12,False,False,Workload mix 3,64,2,1.5794013408934364
FIFO,0,basic,1324771,61.2396,38.7546,0.0,13,13,13,32839936,12,12,False,False,Workload mix 3,64,4,1.0
SJF,2,basic,1324771,61.2396,38.7546,0.0,13,13,13,32839936,12,12,False,False,Workload mix 3,64,4,1.0
AI-MT,11,DNN-aware,915491,87.2362,53.2816,40.5204,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,1.4470606483296942
BATCH-DNN,12,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,1.5816876958049972
BATCH-DNN++,13,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,1.5816876958049972
FIFO,0,basic,2648971,61.2449,38.7522,0.0,13,13,13,65679872,12,12,False,False,Workload mix 3,64,8,1.0
SJF,2,basic,2648971,61.2449,38.7522,0.0,13,13,13,65679872,12,12,False,False,Workload mix 3,64,8,1.0
AI-MT,11,DNN-aware,1830679,87.2402,53.276,40.5175,12,12,12,62403072,12,12,False,False,Workload mix 3,64,8,1.4469882486225056
BATCH-DNN,12,DNN-aware,1673564,95.4304,32.9969,28.4308,12,12,96,35325504,12,12,False,False,Workload mix 3,64,8,1.5828322071937493
BATCH-DNN++,13,DNN-aware,1673564,95.4304,32.9969,28.4308,12,12,96,35325504,12,12,False,False,Workload mix 3,64,8,1.5828322071937493
FIFO,0,basic,5297371,61.2476,38.751,0.0,13,13,13,131359744,12,12,False,False,Workload mix 3,64,16,1.0
SJF,2,basic,5297371,61.2476,38.751,0.0,13,13,13,131359744,12,12,False,False,Workload mix 3,64,16,1.0
AI-MT,11,DNN-aware,3661055,87.2422,53.2732,40.516,12,12,12,124806144,12,12,False,False,Workload mix 3,64,16,1.4469520397808828
BATCH-DNN,12,DNN-aware,3342399,95.2763,31.2274,26.5055,12,12,189,66782784,12,12,False,False,Workload mix 3,64,16,1.5849008451713873
BATCH-DNN++,13,DNN-aware,3182051,95.0382,32.801,27.8411,12,12,145,66782784,12,12,False,False,Workload mix 3,64,16,1.6647662152492213
