scheduler,sched_select,family,total_cycles,array_util_pct,dma_util_pct,overlap_pct,mt_tasks,ct_tasks,inferences,bytes_moved,layers_completed,layers_expected,incomplete,timed_out,workload_mix,dram_bw,batch,capacity_bytes,capacity_mb,speedup_vs_fifo
FIFO,0,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,16777216,16.0,1.0
SJF,2,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,16777216,16.0,1.0
RR,3,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,16777216,16.0,1.0
AI-MT,11,DNN-aware,1121425,71.2165,43.4972,14.7196,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,16777216,16.0,1.1472198319102926
BATCH-DNN,12,DNN-aware,226490,55.4726,61.4137,16.8948,4,2,8,8896512,2,12,True,False,Workload mix 3,64,4,16777216,16.0,
BATCH-DNN++,13,DNN-aware,181498,69.2239,78.9783,48.2127,8,2,8,9162752,2,12,True,False,Workload mix 3,64,4,16777216,16.0,
FIFO,0,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,25165824,24.0,1.0
SJF,2,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,25165824,24.0,1.0
RR,3,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,25165824,24.0,1.0
AI-MT,11,DNN-aware,1001330,79.7579,48.714,28.4753,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,25165824,24.0,1.2848121997743003
BATCH-DNN,12,DNN-aware,834411,95.3347,36.7283,32.0666,12,12,47,19596864,12,12,False,False,Workload mix 3,64,4,25165824,24.0,1.5418313037579803
BATCH-DNN++,13,DNN-aware,541614,92.8126,56.5837,49.4027,12,12,38,19596864,12,12,False,False,Workload mix 3,64,4,25165824,24.0,2.375346649089573
FIFO,0,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.0
SJF,2,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.0
RR,3,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.0
AI-MT,11,DNN-aware,915491,87.2362,53.2816,40.5204,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.4052797897521658
BATCH-DNN,12,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.5360197619775349
BATCH-DNN++,13,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,33554432,32.0,1.5360197619775349
FIFO,0,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.0
SJF,2,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.0
RR,3,basic,1286521,62.0775,37.9153,0.0,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.0
AI-MT,11,DNN-aware,915491,87.2362,53.2816,40.5204,12,12,12,31201536,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.4052797897521658
BATCH-DNN,12,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.5360197619775349
BATCH-DNN++,13,DNN-aware,837568,95.3523,36.5899,31.9479,12,12,48,19596864,12,12,False,False,Workload mix 3,64,4,46137344,44.0,1.5360197619775349
