rank,dataflow,mem_layout,casting,predicted_cycles,compute_base_cycles,ar_requests,offchip_elements,offchip_bytes,prefetch_beats,latency_rank,energy_pJ,weighted,compute_base_source,source
1,OS,CHANNEL_MAJOR,MULTICAST,308272,90000,8192,104202,208404,96848,99090,116913664,3.0000,measured,model
2,IS,ROW_MAJOR,MULTICAST,483436,33738,85334,104202,208404,96848,101686,116913664,3.0262,estimated,model
3,OS,COLUMN_MAJOR,MULTICAST,563878,90000,93394,106238,212476,96848,99138,119193950,3.0395,measured,model
4,OS,ROW_MAJOR,MULTICAST,539698,90000,85334,107477,214953,96848,99168,120581188,3.0636,measured,model
5,IS,COLUMN_MAJOR,MULTICAST,507616,33738,93394,116389,232779,96848,101826,130563436,3.2613,estimated,model
6,IS,CHANNEL_MAJOR,MULTICAST,252010,33738,8192,123997,247994,96848,101914,139083889,3.4081,estimated,model
7,IS,ROW_MAJOR,HYBRID,2508348,33738,449766,570010,1140020,562656,567494,638618624,16.6596,estimated,model
8,OS,CHANNEL_MAJOR,HYBRID,2564610,90000,449766,570010,1140020,562656,564898,638618624,16.6334,measured,model
9,OS,COLUMN_MAJOR,HYBRID,2564610,90000,449766,572046,1144092,562656,564946,640898910,16.6729,measured,model
10,OS,ROW_MAJOR,HYBRID,2564610,90000,449766,573285,1146569,562656,564976,642286148,16.6970,measured,model
11,IS,COLUMN_MAJOR,HYBRID,2508348,33738,449766,686049,1372099,562656,567634,768582840,18.8862,estimated,model
12,IS,CHANNEL_MAJOR,HYBRID,2508348,33738,449766,759259,1518518,562656,567722,850577329,20.2910,estimated,model
13,IS,ROW_MAJOR,UNICAST,4349108,33738,819790,935354,1870708,928000,932838,1047803904,27.3526,estimated,model
14,OS,CHANNEL_MAJOR,UNICAST,4405370,90000,819790,935354,1870708,928000,930242,1047803904,27.3264,measured,model
15,OS,COLUMN_MAJOR,UNICAST,4405370,90000,819790,937390,1874780,928000,930290,1050084190,27.3659,measured,model
16,OS,ROW_MAJOR,UNICAST,4405370,90000,819790,938629,1877257,928000,930320,1051471428,27.3900,measured,model
17,IS,COLUMN_MAJOR,UNICAST,4349108,33738,819790,1051393,2102787,928000,932978,1177768120,29.5792,estimated,model
18,IS,CHANNEL_MAJOR,UNICAST,4349108,33738,819790,1124603,2249206,928000,933066,1259762609,30.9840,estimated,model
19,WS,COLUMN_MAJOR,MULTICAST,2432530539,436056,479324889,497067262,994134524,497059908,497064007,556715540864,14548.2822,estimated,model
20,WS,CHANNEL_MAJOR,MULTICAST,1120649208,436056,42031112,512819373,1025638746,497059908,497064207,574357905408,14850.3540,estimated,model
21,WS,ROW_MAJOR,MULTICAST,2451995751,436056,485813293,526586486,1053172972,497059908,497064380,589777071475,15114.3603,estimated,model
22,WS,COLUMN_MAJOR,HYBRID,11480748115,436056,2086570713,2610307314,5220614628,2610299960,2610304059,2923544399104,76399.2241,estimated,model
23,WS,CHANNEL_MAJOR,HYBRID,11480748115,436056,2086570713,2626059425,5252118850,2610299960,2610304259,2941186763648,76701.2959,estimated,model
24,WS,ROW_MAJOR,HYBRID,11480748115,436056,2086570713,2639826538,5279653076,2610299960,2610304432,2956605929715,76965.3022,estimated,model
25,WS,COLUMN_MAJOR,UNICAST,18532706757,436056,3520568143,3985290490,7970580980,3985283136,3985287235,4463525556224,116642.6429,estimated,model
26,WS,CHANNEL_MAJOR,UNICAST,18532706757,436056,3520568143,4111307380,8222614759,3985283136,3985287435,4604664472576,119059.2032,estimated,model
27,WS,ROW_MAJOR,UNICAST,18532706757,436056,3520568143,4221444280,8442888560,3985283136,3985287608,4728017801114,121171.2412,estimated,model
