rank,dataflow,mem_layout,casting,predicted_cycles,compute_base_cycles,ar_requests,offchip_elements,offchip_bytes,prefetch_beats,latency_rank,energy_pJ,weighted,compute_base_source,source
1,IS,CHANNEL_MAJOR,MULTICAST,227509,61996,6211,92163,184326,73440,74432,103611101,3.0982,estimated,model
2,OS,CHANNEL_MAJOR,MULTICAST,259573,94060,6211,87840,175680,73440,73866,98769600,3.1409,estimated,model
3,IS,COLUMN_MAJOR,MULTICAST,421336,61996,70820,90434,180867,73440,74419,101674589,3.9109,estimated,model
4,IS,ROW_MAJOR,MULTICAST,424243,61996,71789,87840,175680,73440,74399,98769600,3.8647,estimated,model
5,OS,COLUMN_MAJOR,MULTICAST,453400,94060,70820,91872,183744,73440,73962,103285440,4.0845,estimated,model
6,OS,ROW_MAJOR,MULTICAST,456307,94060,71789,94320,188640,73440,74020,106027200,4.1529,estimated,model
7,IS,ROW_MAJOR,HYBRID,2113966,61996,372950,480960,961920,466560,467519,539064000,20.2250,estimated,model
8,IS,COLUMN_MAJOR,HYBRID,2113966,61996,372950,530760,1061520,466560,467539,594839790,21.3566,estimated,model
9,IS,CHANNEL_MAJOR,HYBRID,2113966,61996,372950,563957,1127914,466560,467552,632020815,22.1110,estimated,model
10,OS,CHANNEL_MAJOR,HYBRID,2146030,94060,372950,480960,961920,466560,466986,539064000,20.3659,estimated,model
11,OS,COLUMN_MAJOR,HYBRID,2146030,94060,372950,484992,969984,466560,467082,543579840,20.4575,estimated,model
12,OS,ROW_MAJOR,HYBRID,2146030,94060,372950,487440,974880,466560,467140,546321600,20.5132,estimated,model
13,IS,ROW_MAJOR,UNICAST,3919039,61996,732721,843840,1687680,829440,830399,945489600,36.4051,estimated,model
14,IS,COLUMN_MAJOR,UNICAST,3919039,61996,732721,893640,1787280,829440,830419,1001265390,37.5367,estimated,model
15,IS,CHANNEL_MAJOR,UNICAST,3919039,61996,732721,926837,1853674,829440,830432,1038446415,38.2911,estimated,model
16,OS,CHANNEL_MAJOR,UNICAST,3951103,94060,732721,843840,1687680,829440,829866,945489600,36.5460,estimated,model
17,OS,COLUMN_MAJOR,UNICAST,3951103,94060,732721,847872,1695744,829440,829962,950005440,36.6376,estimated,model
18,OS,ROW_MAJOR,UNICAST,3951103,94060,732721,850320,1700640,829440,830020,952747200,36.6933,estimated,model
19,WS,CHANNEL_MAJOR,MULTICAST,5243566,957340,160822,2041704,4083408,1901880,1904599,2287097280,69.4470,estimated,model
20,WS,COLUMN_MAJOR,MULTICAST,10263166,957340,1834022,1916280,3832560,1901880,1904593,2146622400,88.6602,estimated,model
21,WS,ROW_MAJOR,MULTICAST,10338463,957340,1859121,2142526,4285051,1901880,1904604,2400017472,94.1323,estimated,model
22,WS,COLUMN_MAJOR,HYBRID,57300988,957340,10240576,12825360,25650720,12810960,12813673,14364792000,543.3079,estimated,model
23,WS,CHANNEL_MAJOR,HYBRID,57300988,957340,10240576,12950784,25901568,12810960,12813679,14505266880,546.1580,estimated,model
24,WS,ROW_MAJOR,HYBRID,57300988,957340,10240576,13051606,26103211,12810960,12813684,14618187072,548.4491,estimated,model
25,WS,COLUMN_MAJOR,UNICAST,102927904,957340,19371308,21942720,43885440,21928320,21931033,24576235200,951.0393,estimated,model
26,WS,CHANNEL_MAJOR,UNICAST,102927904,957340,19371308,22946112,45892224,21928320,21931039,25700034240,973.8402,estimated,model
27,WS,ROW_MAJOR,UNICAST,102927904,957340,19371308,23752685,47505370,21928320,21931044,26603395776,992.1687,estimated,model
