rank,dataflow,mem_layout,casting,predicted_cycles,compute_base_cycles,ar_requests,offchip_elements,offchip_bytes,prefetch_beats,latency_rank,energy_pJ,weighted,compute_base_source,source
1,IS,CHANNEL_MAJOR,MULTICAST,13249,1318,449,6960,13921,5292,5690,7804472,3.4999,estimated,model
2,OS,CHANNEL_MAJOR,MULTICAST,17441,5510,449,5584,11168,5292,5649,6263008,3.0000,measured,model
3,IS,COLUMN_MAJOR,MULTICAST,27214,1318,5104,6433,12866,5292,5676,7213727,3.3086,estimated,model
4,IS,ROW_MAJOR,MULTICAST,27424,1318,5174,5584,11168,5292,5654,6263008,3.0009,estimated,model
5,OS,COLUMN_MAJOR,MULTICAST,31406,5510,5104,5640,11280,5292,5653,6325487,3.0207,measured,model
6,OS,ROW_MAJOR,MULTICAST,31616,5510,5174,5676,11353,5292,5655,6366538,3.0342,measured,model
7,IS,ROW_MAJOR,HYBRID,138751,1318,24979,31540,63080,31248,31610,35333728,16.8856,estimated,model
8,IS,COLUMN_MAJOR,HYBRID,138751,1318,24979,39064,78129,31248,31632,43761062,19.5826,estimated,model
9,IS,CHANNEL_MAJOR,HYBRID,138751,1318,24979,43772,87545,31248,31646,49034086,21.2701,estimated,model
10,OS,CHANNEL_MAJOR,HYBRID,142943,5510,24979,31540,63080,31248,31605,35333728,16.8847,measured,model
11,OS,COLUMN_MAJOR,HYBRID,142943,5510,24979,31596,63192,31248,31609,35396207,16.9054,measured,model
12,OS,ROW_MAJOR,HYBRID,142943,5510,24979,31632,63265,31248,31611,35437258,16.9190,measured,model
13,IS,ROW_MAJOR,UNICAST,226318,1318,42744,48676,97352,48384,48746,54526048,26.0522,estimated,model
14,IS,COLUMN_MAJOR,UNICAST,226318,1318,42744,56200,112401,48384,48768,62953382,28.7492,estimated,model
15,IS,CHANNEL_MAJOR,UNICAST,226318,1318,42744,60908,121817,48384,48782,68226406,30.4367,estimated,model
16,OS,CHANNEL_MAJOR,UNICAST,230510,5510,42744,48676,97352,48384,48741,54526048,26.0513,measured,model
17,OS,COLUMN_MAJOR,UNICAST,230510,5510,42744,48732,97464,48384,48745,54588527,26.0720,measured,model
18,OS,ROW_MAJOR,UNICAST,230510,5510,42744,48768,97537,48384,48747,54629578,26.0856,measured,model
19,WS,CHANNEL_MAJOR,MULTICAST,8008706,26975,299481,3611864,7223728,3541644,3542114,4045296429,1919.7607,estimated,model
20,WS,COLUMN_MAJOR,MULTICAST,17356100,26975,3415279,3541936,7083872,3541644,3542090,3966977248,1894.7285,estimated,model
21,WS,ROW_MAJOR,MULTICAST,17496320,26975,3462019,3672791,7345582,3541644,3542135,4113534803,1941.5710,estimated,model
22,WS,COLUMN_MAJOR,HYBRID,99003131,26975,17989124,22504684,45009368,22504392,22504838,25205255008,12038.5355,estimated,model
23,WS,CHANNEL_MAJOR,HYBRID,99003131,26975,17989124,22574612,45149224,22504392,22504862,25283574189,12063.5677,estimated,model
24,WS,ROW_MAJOR,HYBRID,99003131,26975,17989124,22635539,45271078,22504392,22504883,25351812563,12085.3779,estimated,model
25,WS,COLUMN_MAJOR,UNICAST,132877988,26975,25237655,28569316,57138632,28569024,28569470,31997642848,15282.7096,estimated,model
26,WS,CHANNEL_MAJOR,UNICAST,132877988,26975,25237655,29128739,58257477,28569024,28569494,32624196294,15482.9374,estimated,model
27,WS,ROW_MAJOR,UNICAST,132877988,26975,25237655,29616156,59232311,28569024,28569515,33170103290,15657.3930,estimated,model
