rank,dataflow,mem_layout,casting,predicted_cycles,compute_base_cycles,ar_requests,offchip_elements,offchip_bytes,prefetch_beats,latency_rank,energy_pJ,weighted,compute_base_source,source
1,OS,CHANNEL_MAJOR,MULTICAST,17441,5510,449,5584,11168,5292,5649,6263008,3.3164,measured,model
2,IS,ROW_MAJOR,MULTICAST,27424,1318,5174,5584,11168,5292,5654,6263008,4.0699,estimated,model
3,OS,COLUMN_MAJOR,MULTICAST,31406,5510,5104,5640,11280,5292,5653,6325487,4.3905,measured,model
4,OS,ROW_MAJOR,MULTICAST,31616,5510,5174,5676,11353,5292,5655,6366538,4.4194,measured,model
5,IS,COLUMN_MAJOR,MULTICAST,27214,1318,5104,6433,12866,5292,5676,7213727,4.3579,estimated,model
6,IS,CHANNEL_MAJOR,MULTICAST,13249,1318,449,6960,13921,5292,5690,7804472,3.4926,estimated,model
7,IS,ROW_MAJOR,HYBRID,138751,1318,24979,31540,63080,31248,31610,35333728,21.7627,estimated,model
8,OS,CHANNEL_MAJOR,HYBRID,142943,5510,24979,31540,63080,31248,31605,35333728,22.0792,measured,model
9,OS,COLUMN_MAJOR,HYBRID,142943,5510,24979,31596,63192,31248,31609,35396207,22.0991,measured,model
10,OS,ROW_MAJOR,HYBRID,142943,5510,24979,31632,63265,31248,31611,35437258,22.1122,measured,model
11,IS,COLUMN_MAJOR,HYBRID,138751,1318,24979,39064,78129,31248,31632,43761062,24.4558,estimated,model
12,IS,CHANNEL_MAJOR,HYBRID,138751,1318,24979,43772,87545,31248,31646,49034086,26.1409,estimated,model
13,IS,ROW_MAJOR,UNICAST,226318,1318,42744,48676,97352,48384,48746,54526048,34.5054,estimated,model
14,OS,CHANNEL_MAJOR,UNICAST,230510,5510,42744,48676,97352,48384,48741,54526048,34.8218,measured,model
15,OS,COLUMN_MAJOR,UNICAST,230510,5510,42744,48732,97464,48384,48745,54588527,34.8418,measured,model
16,OS,ROW_MAJOR,UNICAST,230510,5510,42744,48768,97537,48384,48747,54629578,34.8549,measured,model
17,IS,COLUMN_MAJOR,UNICAST,226318,1318,42744,56200,112401,48384,48768,62953382,37.1984,estimated,model
18,IS,CHANNEL_MAJOR,UNICAST,226318,1318,42744,60908,121817,48384,48782,68226406,38.8835,estimated,model
19,WS,COLUMN_MAJOR,MULTICAST,17356100,26975,3415279,3541936,7083872,3541644,3542090,3966977248,2577.7225,estimated,model
20,WS,CHANNEL_MAJOR,MULTICAST,8008706,26975,299481,3611864,7223728,3541644,3542114,4045296429,1897.2171,estimated,model
21,WS,ROW_MAJOR,MULTICAST,17496320,26975,3462019,3672791,7345582,3541644,3542135,4113534803,2635.1406,estimated,model
22,WS,COLUMN_MAJOR,HYBRID,99003131,26975,17989124,22504684,45009368,22504392,22504838,25205255008,15527.3451,estimated,model
23,WS,CHANNEL_MAJOR,HYBRID,99003131,26975,17989124,22574612,45149224,22504392,22504862,25283574189,15552.3730,estimated,model
24,WS,ROW_MAJOR,HYBRID,99003131,26975,17989124,22635539,45271078,22504392,22504883,25351812563,15574.1795,estimated,model
25,WS,COLUMN_MAJOR,UNICAST,132877988,26975,25237655,28569316,57138632,28569024,28569470,31997642848,20254.7884,estimated,model
26,WS,CHANNEL_MAJOR,UNICAST,132877988,26975,25237655,29128739,58257477,28569024,28569494,32624196294,20455.0118,estimated,model
27,WS,ROW_MAJOR,UNICAST,132877988,26975,25237655,29616156,59232311,28569024,28569515,33170103290,20629.4637,estimated,model
