workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
ResNet-50,1,r50_bt1a,OS,ROW_MAJOR,OS-RM,16,65536,16,4,495820.8,1062,0.8182674199623352,24190.31261770245,1.2227272727272727,286886768.0
ResNet-50,1,r50_bt1a,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,461701.12,989,0.8786653185035389,25975.846309403438,1.1385858585858586,267586368.0
ResNet-50,1,r50_bt1a,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,405504.0,869,1.0,29562.844649021863,1.0,235798528.0
ResNet-50,1,r50_bt1a,IS,ROW_MAJOR,IS-RM,16,65536,16,4,405504.0,3397,0.2558139534883721,7562.588166028849,1.0,235798528.0
ResNet-50,1,r50_bt1a,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,429701.12,3599,0.2414559599888858,7138.12503473187,1.0596717171717172,249485488.0
ResNet-50,1,r50_bt1a,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,445824.0,3734,0.23272629887520085,6880.051419389395,1.0994318181818181,258605648.0
ResNet-50,1,r50_bt1a,WS,ROW_MAJOR,WS-RM,16,65536,16,4,406282.24,201110,0.004321018348167669,127.74159415245389,1.0019191919191919,236238688.0
ResNet-50,1,r50_bt1a,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,405504.0,200725,0.004329306264790136,127.9866085440279,1.0,235798528.0
ResNet-50,1,r50_bt1a,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,405944.32,200942,0.004324630988046302,127.84839406395875,1.0010858585858586,236047168.0
ResNet-50,2,r50_bt1b,OS,ROW_MAJOR,OS-RM,16,65536,16,4,528588.8,9075,0.8292011019283747,25477.797024793388,1.2060747663551403,378710192.0
ResNet-50,2,r50_bt1b,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,494469.12,8489,0.8864412769466368,27236.542348922136,1.1282242990654205,357995792.0
ResNet-50,2,r50_bt1b,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,438272.0,7525,1.0,30725.71534883721,1.0,323878912.0
ResNet-50,2,r50_bt1b,IS,ROW_MAJOR,IS-RM,16,65536,16,4,438272.0,5445,1.382001836547291,42462.99504132231,1.0,323878912.0
ResNet-50,2,r50_bt1b,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,462469.11999999994,5745,1.309834638816362,40245.60626631854,1.0552102803738317,338568832.0
ResNet-50,2,r50_bt1b,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,478592.0,5945,1.2657695542472667,38891.67502102607,1.091997663551402,348357072.0
ResNet-50,2,r50_bt1b,WS,ROW_MAJOR,WS-RM,16,65536,16,4,443965.44,203462,0.036984793229202506,1136.3842289960778,1.0129906542056075,327335232.0
ResNet-50,2,r50_bt1b,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,438272.0,200853,0.0374652108756155,1151.145404848322,1.0,323878912.0
ResNet-50,2,r50_bt1b,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,441333.76,202256,0.03720532394589036,1143.1601930227039,1.0069859813084112,325737552.0
ResNet-50,3,r50_bt1c,OS,ROW_MAJOR,OS-RM,16,65536,16,4,1381171.2,1176,0.7389455782312925,87381.33333333333,1.3542168674698796,354952192.0
ResNet-50,3,r50_bt1c,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,1244692.48,1060,0.819811320754717,96943.81886792452,1.2204016064257028,322416752.0
ResNet-50,3,r50_bt1c,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,1019904.0,869,1.0,118251.37859608745,1.0,268828672.0
ResNet-50,3,r50_bt1c,IS,ROW_MAJOR,IS-RM,16,65536,16,4,1019904.0,4165,0.20864345738295317,24672.376470588235,1.0,268828672.0
ResNet-50,3,r50_bt1c,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,1044101.1200000001,4263,0.20384705606380482,24105.19540229885,1.0237248995983936,274596672.0
ResNet-50,3,r50_bt1c,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,1060224.0,4329,0.20073920073920073,23737.687225687227,1.0395331325301205,278440512.0
ResNet-50,3,r50_bt1c,WS,ROW_MAJOR,WS-RM,16,65536,16,4,1024983.0399999999,201772,0.004306841385326011,509.289931209484,1.0049799196787148,270039392.0
ResNet-50,3,r50_bt1c,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,1019904.0,200773,0.00432827123168952,511.8240400850712,1.0,268828672.0
ResNet-50,3,r50_bt1c,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,1023016.96,201385,0.004315117809171487,510.268629739057,1.0030522088353413,269570672.0
ResNet-50,4,r50_st3,OS,ROW_MAJOR,OS-RM,16,65536,16,4,1865020.8,9685,0.95539494062984,190984.82849767682,1.046729525862069,2080659616.0
ResNet-50,4,r50_st3,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,1829239.04,9499,0.9741025371091694,194724.50405305822,1.0266472701149425,2049612656.0
ResNet-50,4,r50_st3,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,1781760.0,9253,1.0,199901.4442883389,1.0,2008416256.0
