workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
ResNet-50,1,Input Multicast,254976.0,3397,7562.588166028849,285573120.0
ResNet-50,1,Weight Multicast,402432.0,200725,127.9866085440279,450723840.0
ResNet-50,1,Hybrid,268262.8050315722,869,29562.844649021863,300454341.63536084
ResNet-50,2,Input Multicast,287744.0,5445,42462.99504132231,322273280.0
ResNet-50,2,Weight Multicast,410624.0,200853,1151.145404848322,459898880.0
ResNet-50,2,Hybrid,279072.2138366237,7525,30725.71534883721,312560879.4970186
ResNet-50,3,Input Multicast,869376.0,4165,24672.376470588235,973701120.0
ResNet-50,3,Weight Multicast,1007616.0,200773,511.8240400850712,1128529920.0
ResNet-50,3,Hybrid,874428.3333334666,869,118251.37859608745,979359733.3334825
ResNet-50,4,Input Multicast,1631232.0,74517,24822.363541205363,1826979840.0
ResNet-50,4,Weight Multicast,897024.0,205317,9008.93771095428,1004666880.0
ResNet-50,4,Hybrid,856754.3459127964,9253,199901.4442883389,959564867.422332
BERT-Large,1,Input Multicast,401408.0,16517,4063.017739298904,449576960.0
BERT-Large,1,Weight Multicast,229376.0,33797,1985.6455898452525,256901120.0
BERT-Large,1,Hybrid,228356.67924546395,293,229040.4914675768,255759480.75491962
BERT-Large,2,Input Multicast,327680.0,16517,4063.017739298904,367001600.0
BERT-Large,2,Weight Multicast,229376.0,132101,508.0117788661706,256901120.0
BERT-Large,2,Hybrid,162480.9056606186,1061,63250.57869934024,181978614.33989283
BERT-Large,3,Input Multicast,106496.0,4229,3967.1827855284937,119275520.0
BERT-Large,3,Weight Multicast,81920.0,33029,507.9541009415968,91750400.0
BERT-Large,3,Hybrid,65196.22641515465,293,57260.1228668942,73019773.5849732
BERT-Large,4,Input Multicast,106496.0,4229,3967.1827855284937,119275520.0
BERT-Large,4,Weight Multicast,81920.0,33029,507.9541009415968,91750400.0
BERT-Large,4,Hybrid,65196.22641515465,293,57260.1228668942,73019773.5849732
3D-UNet,1,Input Multicast,528672.0,16407,575.1925397696106,592112640.0
3D-UNet,1,Weight Multicast,540744.0,16391,575.7540113476908,605633280.0
3D-UNet,1,Hybrid,529787.7089721014,613,15395.079934747146,593362234.0487536
