workload,layer_idx,n_banks,bank_conflicts,cycles_lost,conflict_pct
ResNet-50,1,2,51200.0,102400.0,94.22676997257854
ResNet-50,1,4,46400.0,92800.0,85.39301028764929
ResNet-50,1,8,30200.0,60400.0,55.57907135101312
ResNet-50,1,16,17075.0,34150.0,31.424259712534734
ResNet-50,2,2,59392.0,118784.0,67.78593195384457
ResNet-50,2,4,53824.0,107648.0,61.431000833171645
ResNet-50,2,8,35032.0,70064.0,39.983108300900504
ResNet-50,2,16,19807.0,39614.0,22.60634351781047
ResNet-50,3,2,54272.0,108544.0,81.22483799033179
ResNet-50,3,4,49184.0,98368.0,73.61000942873818
ResNet-50,3,8,32012.0,64024.0,47.90996303335977
ResNet-50,3,16,18099.5,36199.0,27.088166185252256
ResNet-50,4,2,345088.0,690176.0,60.448324607054715
ResNet-50,4,4,312736.0,625472.0,54.78129417514334
ResNet-50,4,8,203548.0,407096.0,35.65506646744243
ResNet-50,4,16,115085.5,230171.0,20.15928013018475
BERT-Large,1,2,73728.0,147456.0,89.99890138059838
BERT-Large,1,4,66816.0,133632.0,81.56150437616728
BERT-Large,1,8,43488.0,86976.0,53.085289486212325
BERT-Large,1,16,24588.0,49176.0,30.01428205222104
BERT-Large,2,2,98304.0,196608.0,92.30682554438154
BERT-Large,2,4,89088.0,178176.0,83.65306064959577
BERT-Large,2,8,57984.0,115968.0,54.446604129693796
BERT-Large,2,16,32784.0,65568.0,30.783965745513957
BERT-Large,3,2,24576.0,49152.0,92.30422535211268
BERT-Large,3,4,22272.0,44544.0,83.65070422535211
BERT-Large,3,8,14496.0,28992.0,54.44507042253521
BERT-Large,3,16,8196.0,16392.0,30.783098591549297
BERT-Large,4,2,24576.0,49152.0,92.30422535211268
BERT-Large,4,4,22272.0,44544.0,83.65070422535211
BERT-Large,4,8,14496.0,28992.0,54.44507042253521
BERT-Large,4,16,8196.0,16392.0,30.783098591549297
3D-UNet,1,2,4168.0,8336.0,78.33114076301447
3D-UNet,1,4,3777.25,7554.5,70.98759631648187
3D-UNet,1,8,2458.46875,4916.9375,46.20313380943431
3D-UNet,1,16,1390.01171875,2780.0234375,26.12312946344672
3D-UNet,2,2,37376.0,74752.0,66.97127703417011
3D-UNet,2,4,33872.0,67744.0,60.692719812216666
3D-UNet,2,8,22046.0,44092.0,39.502589188123785
3D-UNet,2,16,12464.75,24929.5,22.33465928434482
3D-UNet,3,2,70144.0,140288.0,79.18985741219504
3D-UNet,3,4,63568.0,127136.0,71.76580827980176
3D-UNet,3,8,41374.0,82748.0,46.70964245797442
3D-UNet,3,16,23392.75,46785.5,26.409508111586533
3D-UNet,4,2,132224.0,264448.0,87.76492297072157
3D-UNet,4,4,119828.0,239656.0,79.53696144221642
3D-UNet,4,8,77991.5,155983.0,51.76759128351155
3D-UNet,4,16,44096.1875,88192.375,29.26925897900529
RNN-T,1,2,12288.0,24576.0,92.30075865695186
RNN-T,1,4,11136.0,22272.0,83.64756253286262
RNN-T,1,8,7248.0,14496.0,54.44302561406145
RNN-T,1,16,4098.0,8196.0,30.78194246225494
RNN-T,2,2,16384.0,32768.0,88.88406661964953
RNN-T,2,4,14848.0,29696.0,80.55118537405738
RNN-T,2,8,9664.0,19328.0,52.42771117018391
RNN-T,2,16,5464.0,10928.0,29.642489014267888
RNN-T,3,2,16384.0,32768.0,94.1122407949911
RNN-T,3,4,14848.0,29696.0,85.28921822046068
RNN-T,3,8,9664.0,19328.0,55.51151703142053
RNN-T,3,16,5464.0,10928.0,31.386064679188923
RNN-T,4,2,6144.0,12288.0,95.98500234338385
RNN-T,4,4,5568.0,11136.0,86.98640837369162
RNN-T,4,8,3624.0,7248.0,56.616153725980325
RNN-T,4,16,2049.0,4098.0,32.01062334010311
DLRM,1,2,40960.0,81920.0,95.23588086214512
DLRM,1,4,37120.0,74240.0,86.30751703131902
DLRM,1,8,24160.0,48320.0,56.174289102280916
DLRM,1,16,13660.0,27320.0,31.76079425236578
DLRM,2,2,12288.0,24576.0,95.99250058589173
DLRM,2,4,11136.0,22272.0,86.99320365596438
DLRM,2,8,7248.0,14496.0,56.620576517459575
DLRM,2,16,4098.0,8196.0,32.01312397468948
DLRM,3,2,40960.0,81920.0,95.23588086214512
DLRM,3,4,37120.0,74240.0,86.30751703131902
DLRM,3,8,24160.0,48320.0,56.174289102280916
DLRM,3,16,13660.0,27320.0,31.76079425236578
DLRM,4,2,8192.0,16384.0,96.95821990768138
DLRM,4,4,7424.0,14848.0,87.86838679133626
DLRM,4,8,4832.0,9664.0,57.190200023671444
DLRM,4,16,2732.0,5464.0,32.33518759616523
VGG-16,1,2,59392.0,118784.0,67.78593195384457
VGG-16,1,4,53824.0,107648.0,61.431000833171645
VGG-16,1,8,35032.0,70064.0,39.983108300900504
VGG-16,1,16,19807.0,39614.0,22.60634351781047
VGG-16,2,2,61952.0,123904.0,68.70044468101622
VGG-16,2,4,56144.0,112288.0,62.25977799217095
VGG-16,2,8,36542.0,73084.0,40.522527917318165
VGG-16,2,16,20660.75,41321.5,22.911329940006876
VGG-16,3,2,160000.0,320000.0,85.00464869172532
VGG-16,3,4,145000.0,290000.0,77.03546287687608
VGG-16,3,8,94375.0,188750.0,50.139460751759856
VGG-16,3,16,53359.375,106718.75,28.348718289281443
VGG-16,4,2,596096.0,1192192.0,95.47908848172655
VGG-16,4,4,540212.0,1080424.0,86.52792393656469
VGG-16,4,8,351603.5,703207.0,56.317743596643396
VGG-16,4,16,198795.6875,397591.375,31.841903043466424
GPT-2/Transformer,1,2,49152.0,98304.0,84.20908358889136
GPT-2/Transformer,1,4,44544.0,89088.0,76.31448200243281
GPT-2/Transformer,1,8,28992.0,57984.0,49.67020164813514
GPT-2/Transformer,1,16,16392.0,32784.0,28.083400435162503
GPT-2/Transformer,2,2,86016.0,172032.0,90.32163220732309
GPT-2/Transformer,2,4,77952.0,155904.0,81.85397918788655
GPT-2/Transformer,2,8,50736.0,101472.0,53.27565024728823
GPT-2/Transformer,2,16,28686.0,57372.0,30.121911522266444
GPT-2/Transformer,3,2,21504.0,43008.0,90.31878701331429
GPT-2/Transformer,3,4,19488.0,38976.0,81.85140073081608
GPT-2/Transformer,3,8,12684.0,25368.0,53.27397202738461
GPT-2/Transformer,3,16,7171.5,14343.0,30.120962661178545
GPT-2/Transformer,4,2,21504.0,43008.0,90.31878701331429
GPT-2/Transformer,4,4,19488.0,38976.0,81.85140073081608
GPT-2/Transformer,4,8,12684.0,25368.0,53.27397202738461
GPT-2/Transformer,4,16,7171.5,14343.0,30.120962661178545
