workload,dataflow,port_activity,cycles_lost
ResNet-50,OS,0.5102,47346.93877551021
ResNet-50,WS,1.0,92800.0
ResNet-50,IS,0.5102,47346.93877551021
ResNet-50,OS,0.5918,63710.04081632653
ResNet-50,WS,1.0,107648.0
ResNet-50,IS,0.5918,63710.04081632653
ResNet-50,OS,0.2163,21279.608163265308
ResNet-50,WS,1.0,98368.0
ResNet-50,IS,0.8163,80300.40816326531
ResNet-50,OS,0.8731,546072.7046632124
ResNet-50,WS,0.3808,238197.8860103627
ResNet-50,IS,1.0,625472.0
BERT-Large,OS,0.75,100224.0
BERT-Large,WS,0.4167,55680.0
BERT-Large,IS,1.0,133632.0
BERT-Large,OS,1.0,178176.0
BERT-Large,WS,0.4167,74240.0
BERT-Large,IS,0.75,133632.0
BERT-Large,OS,1.0,44544.0
BERT-Large,WS,0.6667,29696.0
BERT-Large,IS,1.0,44544.0
BERT-Large,OS,1.0,44544.0
BERT-Large,WS,0.6667,29696.0
BERT-Large,IS,1.0,44544.0
3D-UNet,OS,0.0308,232.94830137310606
3D-UNet,WS,1.0,7554.5
3D-UNet,IS,0.9702,7329.599816524621
3D-UNet,OS,0.3802,25756.833333333332
3D-UNet,WS,1.0,67744.0
3D-UNet,IS,0.7135,48338.166666666664
3D-UNet,OS,0.7135,90716.83333333333
3D-UNet,WS,1.0,127136.0
3D-UNet,IS,0.3802,48338.166666666664
3D-UNet,OS,0.6725,161174.90104166666
3D-UNet,WS,1.0,239656.0
3D-UNet,IS,0.3392,81289.56770833333
RNN-T,OS,0.75,16704.0
RNN-T,WS,1.0,22272.0
RNN-T,IS,0.75,16704.0
RNN-T,OS,0.6667,19797.333333333332
RNN-T,WS,1.0,29696.0
RNN-T,IS,1.0,29696.0
RNN-T,OS,1.0,29696.0
RNN-T,WS,0.75,22272.0
RNN-T,IS,0.75,22272.0
RNN-T,OS,1.0,11136.0
RNN-T,WS,1.0,11136.0
RNN-T,IS,0.6667,7424.0
DLRM,OS,1.0,74240.0
DLRM,WS,0.3,22272.0
DLRM,IS,0.9,66816.0
DLRM,OS,1.0,22272.0
DLRM,WS,0.5,11136.0
DLRM,IS,0.8333,18560.0
DLRM,OS,1.0,74240.0
DLRM,WS,0.3,22272.0
DLRM,IS,0.9,66816.0
DLRM,OS,1.0,14848.0
DLRM,WS,0.625,9280.0
DLRM,IS,0.625,9280.0
VGG-16,OS,0.5918,63710.04081632653
VGG-16,WS,1.0,107648.0
VGG-16,IS,0.5918,63710.04081632653
VGG-16,OS,1.0,112288.0
VGG-16,WS,0.8099,90944.0
VGG-16,IS,1.0,112288.0
VGG-16,OS,1.0,290000.0
VGG-16,WS,0.1568,45472.0
VGG-16,IS,1.0,290000.0
VGG-16,OS,1.0,1080424.0
VGG-16,WS,0.021,22736.0
VGG-16,IS,1.0,1080424.0
GPT-2/Transformer,OS,0.5714,50907.428571428565
GPT-2/Transformer,WS,0.7143,63634.28571428572
GPT-2/Transformer,IS,1.0,89088.0
GPT-2/Transformer,OS,1.0,155904.0
GPT-2/Transformer,WS,0.7143,111360.0
GPT-2/Transformer,IS,0.5714,89088.0
GPT-2/Transformer,OS,0.875,34104.0
GPT-2/Transformer,WS,1.0,38976.0
GPT-2/Transformer,IS,0.875,34104.0
GPT-2/Transformer,OS,0.875,34104.0
GPT-2/Transformer,WS,1.0,38976.0
GPT-2/Transformer,IS,0.875,34104.0
