workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
ResNet-50,1,Static,1.0,1.0,7.032606624692033e-06,405504.0,460587008.0
ResNet-50,1,Double Buffer,1.18,0.8216,8.559647790520976e-06,364953.60000000003,415170560.00000006
ResNet-50,1,Unified Buffer,0.86,1.1408,6.164627125431305e-06,385228.8,437878784.0
ResNet-50,1,Cache-Based,1.35,0.7204,9.762085819950075e-06,324403.2,369754112.0
ResNet-50,2,Static,1.0,1.0,2.9837528455284553e-05,438272.0,548667392.0
ResNet-50,2,Double Buffer,1.18,0.8216,3.631636861646124e-05,394444.8,499580928.0
ResNet-50,2,Unified Buffer,0.86,1.1408,2.61549162476197e-05,416358.39999999997,524124159.99999994
ResNet-50,2,Cache-Based,1.35,0.7204,4.141800174248273e-05,350617.60000000003,450494464.00000006
ResNet-50,3,Static,1.0,1.0,1.980351666987859e-05,1019904.0,1167982592.0
ResNet-50,3,Double Buffer,1.18,0.8216,2.4103598673172576e-05,917913.6,1053753344.0
ResNet-50,3,Unified Buffer,0.86,1.1408,1.7359323869108162e-05,968908.7999999999,1110867968.0
ResNet-50,3,Cache-Based,1.35,0.7204,2.7489612256910868e-05,815923.2000000001,939524096.0000001
ResNet-50,4,Static,1.0,1.0,1.2477237438024892e-05,1781760.0,2457993216.0
ResNet-50,4,Double Buffer,1.18,0.8216,1.518651100051715e-05,1603584.0,2258436096.0
ResNet-50,4,Unified Buffer,0.86,1.1408,1.0937269843990964e-05,1692672.0,2358214656.0
ResNet-50,4,Cache-Based,1.35,0.7204,1.731987428931828e-05,1425408.0,2058878976.0
BERT-Large,1,Static,1.0,1.0,2.0397211027020457e-06,425984.0,493879296.0
BERT-Large,1,Double Buffer,1.18,0.7264,2.8079860995347545e-06,383385.60000000003,446169088.00000006
BERT-Large,1,Unified Buffer,0.86,1.0932,1.8658261093139821e-06,404684.8,470024192.0
BERT-Large,1,Cache-Based,1.35,0.6116,3.33505739486927e-06,340787.2,398458880.0
BERT-Large,2,Static,1.0,1.0,2.0397211027020457e-06,425984.0,493879296.0
BERT-Large,2,Double Buffer,1.18,0.7264,2.8079860995347545e-06,383385.60000000003,446169088.00000006
BERT-Large,2,Unified Buffer,0.86,1.0932,1.8658261093139821e-06,404684.8,470024192.0
BERT-Large,2,Cache-Based,1.35,0.6116,3.33505739486927e-06,340787.2,398458880.0
BERT-Large,3,Static,1.0,1.0,2.015281201201201e-06,131072.0,150994944.0
BERT-Large,3,Double Buffer,1.18,0.7264,2.7743408606844728e-06,117964.8,136314880.0
BERT-Large,3,Unified Buffer,0.86,1.0932,1.843469814490671e-06,124518.4,143654912.0
BERT-Large,3,Cache-Based,1.35,0.6116,3.29509679725507e-06,104857.6,121634816.0
BERT-Large,4,Static,1.0,1.0,2.015281201201201e-06,131072.0,150994944.0
BERT-Large,4,Double Buffer,1.18,0.7264,2.7743408606844728e-06,117964.8,136314880.0
BERT-Large,4,Unified Buffer,0.86,1.0932,1.843469814490671e-06,124518.4,143654912.0
BERT-Large,4,Cache-Based,1.35,0.6116,3.29509679725507e-06,104857.6,121634816.0
3D-UNet,1,Static,1.0,1.0,5.745621917808219e-07,540960.0,608234496.0
3D-UNet,1,Double Buffer,1.18,0.6984,8.22683550659825e-07,486864.0,547646976.0
3D-UNet,1,Unified Buffer,0.86,1.0792,5.323963971282634e-07,513912.0,577940736.0
3D-UNet,1,Cache-Based,1.35,0.5796000000000001,9.913081293664973e-07,432768.0,487059456.0
3D-UNet,2,Static,1.0,1.0,2.3574542388758782e-05,411648.0,498794496.0
3D-UNet,2,Double Buffer,1.18,0.6984,3.375507214885278e-05,370483.2,452689920.0
