workload_mix,scheduler,scheduler_label,off_chip_accesses,speedup,throughput_norm,energy_normalized
Workload mix 3,FIFO,FIFO,6107.936,1.0,1.0,1.0
Workload mix 3,LIFO,LIFO,6643.692800000001,0.9859833294180467,0.9859833294180467,1.0726391837612035
Workload mix 3,SJF,SJF,6167.5328,1.0814544876125107,1.0814544876125107,1.0080802761752714
Workload mix 3,RR,RR,6369.2608,1.0382155313594563,1.0382155313594563,1.0354310391740427
Workload mix 3,PRI,Priority,6167.5328,1.0586328854842764,1.0586328854842764,1.0080802761752714
Workload mix 3,EDF,EDF,6164.256,1.072816135049186,1.072816135049186,1.007635999821992
Workload mix 3,LRU,LRU,6009.017599999999,1.0511219654951984,1.0511219654951984,0.9865884075853741
Workload mix 3,AIMT,AI-MT,5807.2896,1.1639930423435496,1.1639930423435496,0.959237644586603
Workload mix 3,BATCHDNN,BATCH-DNN,5666.46912,1.220771799088842,1.220771799088842,0.9401448683044151
Workload mix 3,BATCHDNN_PP,BATCH-DNN++,5595.7312,1.2662670192758803,1.2662670192758803,0.9305540525279932
Workload mix 4,FIFO,FIFO,5355.2128,1.0,1.0,1.0
Workload mix 4,LIFO,LIFO,5599.5392,0.9882415557023034,0.9882415557023034,1.0415093683130077
Workload mix 4,SJF,SJF,5377.92,1.1014982483325924,1.1014982483325924,1.0038577964892748
Workload mix 4,RR,RR,5470.4128,1.0553027046637307,1.0553027046637307,1.019571684556636
Workload mix 4,PRI,Priority,5377.92,1.076547834019702,1.076547834019702,1.0038577964892748
Workload mix 4,EDF,EDF,5374.438399999999,1.0936118863648934,1.0936118863648934,1.0032662966893406
Workload mix 4,LRU,LRU,5290.7264,1.0724050503704297,1.0724050503704297,0.9890442059115184
Workload mix 4,AIMT,AI-MT,5198.2336,1.244257524394953,1.244257524394953,0.9733303178441572
Workload mix 4,BATCHDNN,BATCH-DNN,5129.840639999999,1.3449702465887328,1.3449702465887328,0.961710826186044
Workload mix 4,BATCHDNN_PP,BATCH-DNN++,5095.296,1.429584755050519,1.429584755050519,0.9558419303769942
