workload,workload_mix,scheme,off_chip_accesses,speedup,throughput,energy_pJ
ResNet-50,Workload mix 3,Static,3645440.0,1.0,2.7354675832148856e-06,3389259776.0
ResNet-50,Workload mix 3,Dynamic,3411518.962334747,1.2193402370673825,3.3354656914073786e-06,3222007315.3485518
BERT-Large,Workload mix 3,Static,1114112.0,1.0,7.232930383348567e-07,1074790400.0
BERT-Large,Workload mix 3,Dynamic,980418.5600000002,1.2304604907254055,8.899835068877773e-07,954946514.6902655
3D-UNet,Workload mix 3,Static,2155296.0,1.0,4.950603550903999e-07,1323936768.0
3D-UNet,Workload mix 3,Dynamic,1940435.5906582803,1.1084161704911917,5.487329029513106e-07,1205263451.698339
VGG-16,Workload mix 4,Static,3886080.0,1.0,2.3800608163055227e-06,4393353216.0
VGG-16,Workload mix 4,Dynamic,3822901.3342000484,1.5003911309435403,3.5710221398910487e-06,4328959636.337851
DLRM,Workload mix 4,Static,454656.0,1.0,4.0030026120152703e-07,478674944.0
DLRM,Workload mix 4,Dynamic,439500.8,1.2314666317546559,4.929564143523535e-07,463352842.97047293
RNN-T,Workload mix 4,Static,327680.0,1.0,3.0985211194159567e-07,247201792.0
RNN-T,Workload mix 4,Dynamic,293948.23529411765,1.1328449435373416,3.5101439825740297e-07,223130075.37042925
GPT-2/Transformer,Workload mix 4,Static,1056768.0,1.0,5.462534585151827e-07,892600320.0
GPT-2/Transformer,Workload mix 4,Dynamic,898252.8,1.139470568703286,6.224397390304321e-07,770502423.0165137
