workload,layer_idx,scheme,dram_traffic,norm_energy,weight_reuse,input_reuse
ResNet-50,1,Baseline,2433024.0,1.0,1.0,1.0
ResNet-50,1,Basic Tiling,1379328.0,0.5669191919191919,1.0,8.0
ResNet-50,1,Optimized Blocking,803620.8979591837,0.3302971520047413,784.0,1024.0
ResNet-50,2,Baseline,2717184.0,1.0,1.0,1.0
ResNet-50,2,Basic Tiling,1586880.0,0.5840163934426229,1.0,8.0
ResNet-50,2,Optimized Blocking,805349.7346938775,0.2963913134678688,87.11111111111111,1024.0
ResNet-50,3,Baseline,6119424.0,1.0,1.0,1.0
ResNet-50,3,Basic Tiling,4952832.0,0.8093624497991968,1.0,32.0
ResNet-50,3,Optimized Blocking,3212131.5918367347,0.524907506300713,784.0,1024.0
ResNet-50,4,Baseline,10868736.0,1.0,1.0,1.0
ResNet-50,4,Basic Tiling,6338624.0,0.583197899001319,1.0,64.0
ResNet-50,4,Optimized Blocking,1644106.448979592,0.15126933334102438,196.0,64.0
BERT-Large,1,Baseline,2555904.0,1.0,1.0,1.0
BERT-Large,1,Basic Tiling,1573888.0,0.6157852564102564,1.0,128.0
BERT-Large,1,Optimized Blocking,557088.0,0.21796123798076922,32.0,4096.0
BERT-Large,2,Baseline,2555904.0,1.0,1.0,1.0
BERT-Large,2,Basic Tiling,1196032.0,0.46794871794871795,1.0,32.0
BERT-Large,2,Optimized Blocking,163968.0,0.06415264423076923,32.0,4096.0
BERT-Large,3,Baseline,786432.0,1.0,1.0,1.0
BERT-Large,3,Basic Tiling,397312.0,0.5052083333333334,1.0,32.0
BERT-Large,3,Optimized Blocking,139392.0,0.17724609375,32.0,1024.0
BERT-Large,4,Baseline,786432.0,1.0,1.0,1.0
BERT-Large,4,Basic Tiling,397312.0,0.5052083333333334,1.0,32.0
BERT-Large,4,Optimized Blocking,139392.0,0.17724609375,32.0,1024.0
3D-UNet,1,Baseline,3248856.0,1.0,1.0,1.0
3D-UNet,1,Basic Tiling,3172806.0,0.9765917602996255,1.0,4.0
3D-UNet,1,Optimized Blocking,2101378.125,0.6468055601725654,1024.0,16.0
3D-UNet,2,Baseline,2519808.0,1.0,1.0,1.0
3D-UNet,2,Basic Tiling,1788000.0,0.7095778725998171,1.0,8.0
3D-UNet,2,Optimized Blocking,1050313.0,0.41682263093061056,113.77777777777777,512.0
3D-UNet,3,Baseline,2569728.0,1.0,1.0,1.0
3D-UNet,3,Basic Tiling,1315200.0,0.5118051404662284,1.0,4.0
3D-UNet,3,Optimized Blocking,527114.0,0.20512443340306835,113.77777777777777,512.0
3D-UNet,4,Baseline,4845312.0,1.0,1.0,1.0
3D-UNet,4,Basic Tiling,3222912.0,0.66516088128071,1.0,2.0
3D-UNet,4,Optimized Blocking,1065638.0,0.2199317608442965,113.77777777777777,128.0
RNN-T,1,Baseline,491520.0,1.0,1.0,1.0
RNN-T,1,Basic Tiling,204800.0,0.4166666666666667,1.0,16.0
RNN-T,1,Optimized Blocking,133248.0,0.27109375,32.0,1024.0
RNN-T,2,Baseline,786432.0,1.0,1.0,1.0
RNN-T,2,Basic Tiling,397312.0,0.5052083333333334,1.0,32.0
RNN-T,2,Optimized Blocking,266368.0,0.3387044270833333,32.0,1024.0
RNN-T,3,Baseline,491520.0,1.0,1.0,1.0
RNN-T,3,Basic Tiling,204800.0,0.4166666666666667,1.0,16.0
RNN-T,3,Optimized Blocking,69760.0,0.14192708333333334,32.0,1024.0
RNN-T,4,Baseline,131072.0,1.0,1.0,1.0
RNN-T,4,Basic Tiling,73728.0,0.5625,1.0,8.0
RNN-T,4,Optimized Blocking,33856.0,0.25830078125,32.0,1024.0
DLRM,1,Baseline,1081344.0,1.0,1.0,1.0
DLRM,1,Basic Tiling,593920.0,0.5492424242424242,1.0,32.0
DLRM,1,Optimized Blocking,81984.0,0.07581676136363637,32.0,2048.0
DLRM,2,Baseline,344064.0,1.0,1.0,1.0
DLRM,2,Basic Tiling,167936.0,0.4880952380952381,1.0,16.0
DLRM,2,Optimized Blocking,36928.0,0.10732886904761904,32.0,1024.0
DLRM,3,Baseline,1081344.0,1.0,1.0,1.0
DLRM,3,Basic Tiling,593920.0,0.5492424242424242,1.0,32.0
DLRM,3,Optimized Blocking,81984.0,0.07581676136363637,32.0,2048.0
DLRM,4,Baseline,221184.0,1.0,1.0,1.0
DLRM,4,Basic Tiling,90112.0,0.4074074074074074,1.0,8.0
DLRM,4,Optimized Blocking,18496.0,0.08362268518518519,32.0,1024.0
VGG-16,1,Baseline,2717184.0,1.0,1.0,1.0
VGG-16,1,Basic Tiling,1586880.0,0.5840163934426229,1.0,8.0
VGG-16,1,Optimized Blocking,805349.7346938775,0.2963913134678688,87.11111111111111,1024.0
VGG-16,2,Baseline,2178048.0,1.0,1.0,1.0
VGG-16,2,Basic Tiling,1020032.0,0.46832393041842973,1.0,16.0
VGG-16,2,Optimized Blocking,418817.306122449,0.19229020945472688,196.0,32.0
VGG-16,3,Baseline,4233216.0,1.0,1.0,1.0
VGG-16,3,Basic Tiling,2568192.0,0.6066763425253991,1.0,32.0
VGG-16,3,Optimized Blocking,257044.89795918367,0.060720950208820824,49.0,32.0
VGG-16,4,Baseline,14555136.0,1.0,1.0,1.0
VGG-16,4,Basic Tiling,9540128.0,0.6554475341212889,1.0,64.0
VGG-16,4,Optimized Blocking,873326.3673469388,0.060001250922488036,12.25,64.0
GPT-2/Transformer,1,Baseline,2359296.0,1.0,1.0,1.0
GPT-2/Transformer,1,Basic Tiling,1378304.0,0.5842013888888888,1.0,96.0
GPT-2/Transformer,1,Optimized Blocking,804949.3333333334,0.3411820023148148,32.0,2304.0
GPT-2/Transformer,2,Baseline,2359296.0,1.0,1.0,1.0
GPT-2/Transformer,2,Basic Tiling,819200.0,0.3472222222222222,1.0,24.0
GPT-2/Transformer,2,Optimized Blocking,215381.33333333334,0.09129050925925926,32.0,2304.0
GPT-2/Transformer,3,Baseline,811008.0,1.0,1.0,1.0
GPT-2/Transformer,3,Basic Tiling,352256.0,0.43434343434343436,1.0,24.0
GPT-2/Transformer,3,Optimized Blocking,201557.33333333334,0.24852693602693604,32.0,576.0
GPT-2/Transformer,4,Baseline,811008.0,1.0,1.0,1.0
GPT-2/Transformer,4,Basic Tiling,352256.0,0.43434343434343436,1.0,24.0
GPT-2/Transformer,4,Optimized Blocking,201557.33333333334,0.24852693602693604,32.0,576.0
