workload,block,No Reuse,Intra-Layer Reuse,Inter-Layer Reuse
ResNet-50,1,1.0,0.8601123595505618,0.8601123595505618
ResNet-50,2,1.0,0.8601123595505618,0.8601123595505618
ResNet-50,3,1.0,0.8601123595505618,0.8601123595505618
ResNet-50,4,1.0,0.8601123595505618,0.8601123595505618
BERT-Large,1,1.0,0.8014705882352942,0.7426470588235294
BERT-Large,2,1.0,0.8014705882352942,0.7426470588235294
BERT-Large,3,1.0,0.8014705882352942,0.7426470588235294
BERT-Large,4,1.0,0.8014705882352942,0.7426470588235294
3D-UNet,1,1.0,0.8868313215446973,0.8868313215446973
3D-UNet,2,1.0,0.8868313215446973,0.8868313215446973
3D-UNet,3,1.0,0.8868313215446973,0.8868313215446973
3D-UNet,4,1.0,0.8868313215446973,0.8868313215446973
RNN-T,1,1.0,0.84375,0.69375
RNN-T,2,1.0,0.84375,0.69375
RNN-T,3,1.0,0.84375,0.69375
RNN-T,4,1.0,0.84375,0.69375
DLRM,1,1.0,0.7747747747747747,0.6846846846846847
DLRM,2,1.0,0.7747747747747747,0.6846846846846847
DLRM,3,1.0,0.7747747747747747,0.6846846846846847
DLRM,4,1.0,0.7747747747747747,0.6846846846846847
VGG-16,1,1.0,0.7742094861660079,0.7742094861660079
VGG-16,2,1.0,0.7742094861660079,0.7742094861660079
VGG-16,3,1.0,0.7742094861660079,0.7742094861660079
VGG-16,4,1.0,0.7742094861660079,0.7742094861660079
GPT-2/Transformer,1,1.0,0.8313953488372093,0.8313953488372093
GPT-2/Transformer,2,1.0,0.8313953488372093,0.8313953488372093
GPT-2/Transformer,3,1.0,0.8313953488372093,0.8313953488372093
GPT-2/Transformer,4,1.0,0.8313953488372093,0.8313953488372093
