workload,loop_order,weight_acc,input_acc,output_acc,total_acc,norm_offchip,weight_reuse,input_reuse
ResNet-50,K→C→KH→KW→H_in→W_in,9216,25088,21632,55936,1.0,1.0,1.0
ResNet-50,C→K→KH→KW→H_in→W_in,9216,25088,21632,55936,1.0,1.0,1.0
ResNet-50,H_in→W_in→K→C→KH→KW,9216,25088,21632,55936,1.0,1.0,1.0
ResNet-50,KH→KW→C→K→H_in→W_in,9216,25088,21632,55936,1.0,1.0,1.0
ResNet-50,C→KH→KW→K→H_in→W_in,9216,25088,21632,55936,1.0,1.0,1.0
ResNet-50,K→H_in→W_in→C→KH→KW,9216,25088,21632,55936,1.0,1.0,1.0
BERT-Large,K→C→KH→KW→H_in→W_in,2048,1024,2048,5120,1.0,1.0,1.0
BERT-Large,C→K→KH→KW→H_in→W_in,2048,1024,2048,5120,1.0,1.0,1.0
BERT-Large,H_in→W_in→K→C→KH→KW,2048,1024,2048,5120,1.0,1.0,1.0
BERT-Large,KH→KW→C→K→H_in→W_in,2048,1024,2048,5120,1.0,1.0,1.0
BERT-Large,C→KH→KW→K→H_in→W_in,2048,1024,2048,5120,1.0,1.0,1.0
BERT-Large,K→H_in→W_in→C→KH→KW,2048,1024,2048,5120,1.0,1.0,1.0
3D-UNet,K→C→KH→KW→H_in→W_in,4608,16384,28800,49792,1.0,1.0,1.0
3D-UNet,C→K→KH→KW→H_in→W_in,4608,16384,28800,49792,1.0,1.0,1.0
3D-UNet,H_in→W_in→K→C→KH→KW,4608,16384,28800,49792,1.0,1.0,1.0
3D-UNet,KH→KW→C→K→H_in→W_in,4608,16384,28800,49792,1.0,1.0,1.0
3D-UNet,C→KH→KW→K→H_in→W_in,4608,16384,28800,49792,1.0,1.0,1.0
3D-UNet,K→H_in→W_in→C→KH→KW,4608,16384,28800,49792,1.0,1.0,1.0
RNN-T,K→C→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
RNN-T,C→K→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
RNN-T,H_in→W_in→K→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0
RNN-T,KH→KW→C→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
RNN-T,C→KH→KW→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
RNN-T,K→H_in→W_in→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0
DLRM,K→C→KH→KW→H_in→W_in,1024,512,512,2048,1.0,1.0,1.0
DLRM,C→K→KH→KW→H_in→W_in,1024,512,512,2048,1.0,1.0,1.0
DLRM,H_in→W_in→K→C→KH→KW,1024,512,512,2048,1.0,1.0,1.0
DLRM,KH→KW→C→K→H_in→W_in,1024,512,512,2048,1.0,1.0,1.0
DLRM,C→KH→KW→K→H_in→W_in,1024,512,512,2048,1.0,1.0,1.0
DLRM,K→H_in→W_in→C→KH→KW,1024,512,512,2048,1.0,1.0,1.0
VGG-16,K→C→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
VGG-16,C→K→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
VGG-16,H_in→W_in→K→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0
VGG-16,KH→KW→C→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
VGG-16,C→KH→KW→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
VGG-16,K→H_in→W_in→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0
GPT-2/Transformer,K→C→KH→KW→H_in→W_in,1536,1024,1536,4096,1.0,1.0,1.0
GPT-2/Transformer,C→K→KH→KW→H_in→W_in,1536,1024,1536,4096,1.0,1.0,1.0
GPT-2/Transformer,H_in→W_in→K→C→KH→KW,1536,1024,1536,4096,1.0,1.0,1.0
GPT-2/Transformer,KH→KW→C→K→H_in→W_in,1536,1024,1536,4096,1.0,1.0,1.0
GPT-2/Transformer,C→KH→KW→K→H_in→W_in,1536,1024,1536,4096,1.0,1.0,1.0
GPT-2/Transformer,K→H_in→W_in→C→KH→KW,1536,1024,1536,4096,1.0,1.0,1.0
