workload,mode,n_evaluations,elapsed_ms,norm_time,quality_pct,best_dram_traffic
ResNet-50,Exhaustive Search,7758,18.3105420001084,100.0,100.0,100887.6836734694
ResNet-50,Heuristic Search,3720,8.486500009894371,46.34761772668516,98.43206480293065,102494.73469387754
ResNet-50,Systolic Optimizer,14,182.2987499908777,995.5945050113671,100.0,100887.6836734694
BERT-Large,Exhaustive Search,1512,3.102167000179179,100.0,100.0,8450.0
BERT-Large,Heuristic Search,900,2.0439170039026067,65.88674961033855,96.99265381083563,8712.0
BERT-Large,Systolic Optimizer,14,168.52733299310785,5432.568039804879,100.0,8450.0
3D-UNet,Exhaustive Search,6468,13.502165995305404,100.0,100.0,131378.5
3D-UNet,Heuristic Search,2988,6.727959000272676,49.82873860839761,99.3049781553765,132298.0
3D-UNet,Systolic Optimizer,14,176.19795798964333,1304.9606859440623,100.0,131378.5
RNN-T,Exhaustive Search,1296,2.6400839997222647,100.0,100.0,4228.0
RNN-T,Heuristic Search,750,1.6353329992853105,61.94246090114355,96.7948717948718,4368.0
RNN-T,Systolic Optimizer,13,171.8035840021912,6507.504458959064,100.0,4228.0
DLRM,Exhaustive Search,1080,2.3156250099418685,100.0,100.0,2306.0
DLRM,Heuristic Search,600,1.44920899765566,62.58392405651384,89.797507788162,2568.0
DLRM,Systolic Optimizer,13,191.2062089977553,8257.2181668808,100.0,2306.0
VGG-16,Exhaustive Search,3456,19.50766700610984,100.0,100.0,26300.081632653062
VGG-16,Heuristic Search,2400,5.30458299908787,27.192298276500537,94.30498313975272,27888.326530612245
VGG-16,Systolic Optimizer,18,174.35829200258013,893.7936655775944,100.0,26300.081632653062
GPT-2/Transformer,Exhaustive Search,2160,4.4207920000189915,100.0,100.0,6338.666666666667
GPT-2/Transformer,Heuristic Search,900,2.005208996706642,45.35859177943744,96.94127243066885,6538.666666666667
GPT-2/Transformer,Systolic Optimizer,16,173.21812499722,3918.2600085341237,100.0,6338.666666666667
