workload,layer_idx,python_estimated,rtl_actual
ResNet-50,1,3653,3762
ResNet-50,2,7749,7981
ResNet-50,3,5189,5344
ResNet-50,4,148245,152692
BERT-Large,1,32901,33888
BERT-Large,2,32901,33888
BERT-Large,3,8325,8574
BERT-Large,4,8325,8574
3D-UNet,1,16425,16917
3D-UNet,2,6405,6597
3D-UNet,3,6405,6597
3D-UNet,4,16965,17473
RNN-T,1,2309,2378
RNN-T,2,4357,4487
RNN-T,3,4229,4355
RNN-T,4,1157,1191
DLRM,1,16453,16946
DLRM,2,4165,4289
DLRM,3,16453,16946
DLRM,4,2117,2180
VGG-16,1,7749,7981
VGG-16,2,19221,19797
VGG-16,3,73929,76146
VGG-16,4,294966,303814
GPT-2/Transformer,1,18693,19253
GPT-2/Transformer,2,18693,19253
GPT-2/Transformer,3,4869,5015
GPT-2/Transformer,4,4869,5015
