workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
MobileNetV2,1,Input Multicast,34400.0,1083,1633.8614958448754,38528000.0
MobileNetV2,1,Weight Multicast,36056.0,3081,574.317429406037,40382720.0
MobileNetV2,1,Hybrid,34066.395784200526,145,12203.255172413794,38154363.27830459
MobileNetV2,2,Input Multicast,29696.0,453,3472.1059602649007,33259520.0
MobileNetV2,2,Weight Multicast,33536.0,8209,191.60238762334023,37560320.0
MobileNetV2,2,Hybrid,28291.734276736468,69,22795.130434782608,31686742.389944844
MobileNetV2,3,Input Multicast,113664.0,5445,7799.325619834711,127303680.0
MobileNetV2,3,Weight Multicast,69888.0,24905,1705.1727765508933,78274560.0
MobileNetV2,3,Hybrid,60044.37264157539,901,47133.549389567146,67249697.35856444
MobileNetV2,4,Input Multicast,28672.0,645,4877.097674418605,32112640.0
MobileNetV2,4,Weight Multicast,42496.0,24605,127.84913635439952,47595520.0
MobileNetV2,4,Hybrid,26517.820754735825,133,23652.09022556391,29699959.245304123
EfficientDet-Lite0,1,Input Multicast,88320.0,2469,14930.741190765491,98918400.0
EfficientDet-Lite0,1,Weight Multicast,118080.0,51259,719.1712674847344,132249600.0
EfficientDet-Lite0,1,Hybrid,84689.88404091899,2053,17956.161714564052,94852670.12582926
EfficientDet-Lite0,2,Input Multicast,52640.0,1845,9990.243902439024,58956800.0
EfficientDet-Lite0,2,Weight Multicast,47360.0,16097,1145.05808535752,53043200.0
EfficientDet-Lite0,2,Hybrid,38478.39720914345,757,24348.745046235137,43095804.87424066
EfficientDet-Lite0,3,Input Multicast,36096.0,661,4957.337367624811,40427520.0
EfficientDet-Lite0,3,Weight Multicast,52224.0,25621,127.89508606221459,58490880.0
EfficientDet-Lite0,3,Hybrid,35396.02672957796,165,19859.39393939394,39643549.93712732
EfficientDet-Lite0,4,Input Multicast,88128.0,4713,3128.70782940802,98703360.0
EfficientDet-Lite0,4,Weight Multicast,37632.0,6693,2203.1376064545047,42147840.0
EfficientDet-Lite0,4,Hybrid,39232.38246860261,613,24054.812398042413,43940268.36483493
DS-CNN-KWS,1,Input Multicast,50948.0,825,1094.749090909091,57061760.0
DS-CNN-KWS,1,Weight Multicast,51104.0,793,1138.9255989911728,57236480.0
DS-CNN-KWS,1,Hybrid,50624.63268966279,73,12372.164383561643,56699588.612422325
DS-CNN-KWS,2,Input Multicast,99584.0,3093,18688.248302618817,111534080.0
DS-CNN-KWS,2,Weight Multicast,109568.0,50325,1148.5892101341283,122716160.0
DS-CNN-KWS,2,Hybrid,78888.49213841818,2341,24691.47885519009,88355111.19502836
DS-CNN-KWS,3,Input Multicast,101376.0,4805,5892.10239334027,113541120.0
DS-CNN-KWS,3,Weight Multicast,55296.0,12581,2250.341944201574,61931520.0
DS-CNN-KWS,3,Hybrid,52950.69811326031,613,46185.239804241435,59304781.88685155
DS-CNN-KWS,4,Input Multicast,155136.0,9269,1527.2171755313411,173752320.0
DS-CNN-KWS,4,Weight Multicast,49152.0,6725,2104.948104089219,55050240.0
