workload,layer_idx,n_banks,bank_conflicts,cycles_lost,conflict_pct
MobileNetV2,1,2,984.0,1968.0,1.7483697873172117
MobileNetV2,1,4,891.75,1783.5,1.5844601197562231
MobileNetV2,1,8,580.40625,1160.8125,1.0312649917378867
MobileNetV2,1,16,328.16015625,656.3203125,0.5830744945008084
MobileNetV2,2,2,2816.0,5632.0,5.418614943524024
MobileNetV2,2,4,2552.0,5104.0,4.910619792568647
MobileNetV2,2,8,1661.0,3322.0,3.196136158094249
MobileNetV2,2,16,939.125,1878.25,1.8070869172006387
MobileNetV2,3,2,26880.0,53760.0,1.9852509444343918
MobileNetV2,3,4,24360.0,48720.0,1.7991336683936674
MobileNetV2,3,8,15855.0,31710.0,1.1709878617562233
MobileNetV2,3,16,8964.375,17928.75,0.6620734350823679
MobileNetV2,4,2,7680.0,15360.0,7.246308439873567
MobileNetV2,4,4,6960.0,13920.0,6.56696702363542
MobileNetV2,4,8,4530.0,9060.0,4.274189743831673
MobileNetV2,4,16,2561.25,5122.5,2.4166155588054914
EfficientDet-Lite0,1,2,15680.0,31360.0,1.3428325030552009
EfficientDet-Lite0,1,4,14210.0,28420.0,1.2169419558937757
EfficientDet-Lite0,1,8,9248.75,18497.5,0.7920613592239661
EfficientDet-Lite0,1,16,5229.21875,10458.4375,0.44782939432944435
EfficientDet-Lite0,2,2,9760.0,19520.0,1.6662085731211191
EfficientDet-Lite0,2,4,8845.0,17690.0,1.5100015193910143
EfficientDet-Lite0,2,8,5756.875,11513.75,0.9828027130519102
EfficientDet-Lite0,2,16,3254.921875,6509.84375,0.5556740505086545
EfficientDet-Lite0,3,2,7424.0,14848.0,6.75984520828591
EfficientDet-Lite0,3,4,6728.0,13456.0,6.126109720009105
EfficientDet-Lite0,3,8,4379.0,8758.0,3.987252447074892
EfficientDet-Lite0,3,16,2475.875,4951.75,2.254381971318006
EfficientDet-Lite0,4,2,20032.0,40064.0,4.166103408043957
EfficientDet-Lite0,4,4,18154.0,36308.0,3.775531213539836
EfficientDet-Lite0,4,8,11815.75,23631.5,2.4573500570884277
EfficientDet-Lite0,4,16,6680.59375,13361.1875,1.389379212741222
DS-CNN-KWS,1,2,340.0,680.0,1.1902678102573079
DS-CNN-KWS,1,4,308.125,616.25,1.0786802030456852
DS-CNN-KWS,1,8,200.546875,401.09375,0.7020720287064589
DS-CNN-KWS,1,16,113.388671875,226.77734375,0.39694966523717834
DS-CNN-KWS,2,2,21760.0,43520.0,1.1903088293454889
DS-CNN-KWS,2,4,19720.0,39440.0,1.0787173765943492
DS-CNN-KWS,2,8,12835.0,25670.0,0.7020962235592532
DS-CNN-KWS,2,16,7256.875,14513.75,0.3969633449428559
DS-CNN-KWS,3,2,21504.0,43008.0,2.372878737554359
DS-CNN-KWS,3,4,19488.0,38976.0,2.150421355908638
DS-CNN-KWS,3,8,12684.0,25368.0,1.399627692854329
DS-CNN-KWS,3,16,7171.5,14343.0,0.7913457899168101
DS-CNN-KWS,4,2,38400.0,76800.0,7.987203833857841
DS-CNN-KWS,4,4,34800.0,69600.0,7.238403474433667
DS-CNN-KWS,4,8,22650.0,45300.0,4.711202261377085
DS-CNN-KWS,4,16,12806.25,25612.5,2.663701278576614
ResNet-18,1,2,59392.0,118784.0,0.8152936749809911
ResNet-18,1,4,53824.0,107648.0,0.7388598929515233
ResNet-18,1,8,35032.0,70064.0,0.480895878602069
ResNet-18,1,16,19807.0,39614.0,0.27189725586524266
ResNet-18,2,2,30976.0,61952.0,0.8501367722302559
ResNet-18,2,4,28072.0,56144.0,0.7704364498336694
ResNet-18,2,8,18271.0,36542.0,0.50144786174519
ResNet-18,2,16,10330.375,20660.75,0.2835172926920238
ResNet-18,3,2,80000.0,160000.0,2.1664523232899313
ResNet-18,3,4,72500.0,145000.0,1.9633474179815
ResNet-18,3,8,47187.5,94375.0,1.2778683625655454
ResNet-18,3,16,26679.6875,53359.375,0.7225033871128043
ResNet-18,4,2,298048.0,596096.0,7.62130563647982
ResNet-18,4,4,270106.0,540212.0,6.906808233059837
ResNet-18,4,8,175801.75,351603.5,4.495379496517394
ResNet-18,4,16,99397.84375,198795.6875,2.5416756590408776
TinyBERT,1,2,20480.0,40960.0,3.759391595336739
TinyBERT,1,4,18560.0,37120.0,3.40694863327392
TinyBERT,1,8,12080.0,24160.0,2.217453636311905
TinyBERT,1,16,6830.0,13660.0,1.2537424119213831
TinyBERT,2,2,32768.0,65536.0,5.882342381479813
TinyBERT,2,4,29696.0,59392.0,5.33087278321608
TinyBERT,2,8,19328.0,38656.0,3.4696628890759835
TinyBERT,2,16,10928.0,21856.0,1.9617382063235898
TinyBERT,3,2,8192.0,16384.0,5.882310702617312
TinyBERT,3,4,7424.0,14848.0,5.33084407424694
TinyBERT,3,8,4832.0,9664.0,3.4696442034969306
TinyBERT,3,16,2732.0,5464.0,1.9617276415466918
