workload,dataflow,port_activity,cycles_lost
MobileNetV2,OS,0.1098,195.86651785714287
MobileNetV2,WS,1.0,1783.5
MobileNetV2,IS,0.9384,1673.6236607142857
MobileNetV2,OS,0.3438,1754.5
MobileNetV2,WS,1.0,5104.0
MobileNetV2,IS,0.8438,4306.5
MobileNetV2,OS,1.0,48720.0
MobileNetV2,WS,0.4571,22272.0
MobileNetV2,IS,1.0,48720.0
MobileNetV2,OS,0.75,10440.0
MobileNetV2,WS,1.0,13920.0
MobileNetV2,IS,0.55,7656.000000000001
EfficientDet-Lite0,OS,0.5444,15473.11111111111
EfficientDet-Lite0,WS,1.0,28420.0
EfficientDet-Lite0,IS,0.6556,18630.88888888889
EfficientDet-Lite0,OS,0.8026,14198.552631578948
EfficientDet-Lite0,WS,0.8553,15129.605263157895
EfficientDet-Lite0,IS,1.0,17690.0
EfficientDet-Lite0,OS,0.58,7804.48
EfficientDet-Lite0,WS,1.0,13456.0
EfficientDet-Lite0,IS,0.58,7804.48
EfficientDet-Lite0,OS,0.926,33622.497041420116
EfficientDet-Lite0,WS,0.2219,8056.508875739645
EfficientDet-Lite0,IS,1.0,36308.0
DS-CNN-KWS,OS,0.0267,16.446232339089484
DS-CNN-KWS,WS,1.0,616.25
DS-CNN-KWS,IS,0.9959,613.734693877551
DS-CNN-KWS,OS,0.8673,34208.163265306124
DS-CNN-KWS,WS,1.0,39440.0
DS-CNN-KWS,IS,0.8673,34208.163265306124
DS-CNN-KWS,OS,0.875,34104.0
DS-CNN-KWS,WS,0.375,14616.0
DS-CNN-KWS,IS,1.0,38976.0
DS-CNN-KWS,OS,1.0,69600.0
DS-CNN-KWS,WS,0.08,5568.0
DS-CNN-KWS,IS,1.0,69600.0
ResNet-18,OS,0.5918,63710.04081632653
ResNet-18,WS,1.0,107648.0
ResNet-18,IS,0.5918,63710.04081632653
ResNet-18,OS,0.7118,39961.31764705882
ResNet-18,WS,0.8647,48548.04705882353
ResNet-18,IS,1.0,56144.0
ResNet-18,OS,0.9273,134458.45697329377
ResNet-18,WS,0.2181,31624.629080118695
ResNet-18,IS,1.0,145000.0
ResNet-18,OS,0.9896,534587.1831704207
ResNet-18,WS,0.0312,16874.45048873778
ResNet-18,IS,1.0,540212.0
TinyBERT,OS,0.625,23200.0
TinyBERT,WS,0.625,23200.0
TinyBERT,IS,1.0,37120.0
TinyBERT,OS,1.0,59392.0
TinyBERT,WS,0.625,37120.0
TinyBERT,IS,0.625,37120.0
TinyBERT,OS,1.0,14848.0
TinyBERT,WS,1.0,14848.0
TinyBERT,IS,1.0,14848.0
TinyBERT,OS,0.625,23200.0
TinyBERT,WS,0.625,23200.0
TinyBERT,IS,1.0,37120.0
U-Net,OS,0.0175,37.14927884615385
U-Net,WS,1.0,2117.0
U-Net,IS,0.9868,2089.0108173076924
U-Net,OS,0.68,42910.72
U-Net,WS,0.96,60579.84
U-Net,IS,1.0,63104.0
U-Net,OS,1.0,92800.0
U-Net,WS,0.96,89088.0
U-Net,IS,0.68,63104.00000000001
U-Net,OS,0.7135,90716.83333333333
U-Net,WS,1.0,127136.0
U-Net,IS,0.3802,48338.166666666664
SSD-MobileNet,OS,0.7219,9807.820107858244
SSD-MobileNet,WS,0.8344,11336.03967642527
SSD-MobileNet,IS,1.0,13586.5
SSD-MobileNet,OS,0.926,33622.497041420116
SSD-MobileNet,WS,0.2219,8056.508875739645
SSD-MobileNet,IS,1.0,36308.0
SSD-MobileNet,OS,0.9894,133647.39932030585
SSD-MobileNet,WS,0.0319,4303.802039082413
SSD-MobileNet,IS,1.0,135082.0
SSD-MobileNet,OS,1.0,268308.0
SSD-MobileNet,WS,0.0078,2088.0
SSD-MobileNet,IS,1.0,268308.0
