workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
MobileNetV2,1,Static,1.0,1.0,5.360411996364739e-07,36704.0,41550848.0
MobileNetV2,1,Double Buffer,1.18,0.8300000000000001,6.458327706463539e-07,33033.6,37440000.0
MobileNetV2,1,Unified Buffer,0.86,1.145,4.68158252957619e-07,34868.799999999996,39495423.99999999
MobileNetV2,1,Cache-Based,1.35,0.7300000000000001,7.343030132006489e-07,29363.2,33329152.0
MobileNetV2,2,Static,1.0,1.0,1.7544495259341887e-07,35840.0,40534016.0
MobileNetV2,2,Double Buffer,1.18,0.8300000000000001,2.1137946095592632e-07,32256.0,36519936.0
MobileNetV2,2,Unified Buffer,0.86,1.145,1.5322703283268025e-07,34048.0,38526976.0
MobileNetV2,2,Cache-Based,1.35,0.7300000000000001,2.4033555149783403e-07,28672.0,32505856.0
MobileNetV2,3,Static,1.0,1.0,9.371169318357349e-07,132096.0,158564352.0
MobileNetV2,3,Double Buffer,1.18,0.8300000000000001,1.1290565443804034e-06,118886.40000000001,143769600.0
MobileNetV2,3,Unified Buffer,0.86,1.145,8.184427352277161e-07,125491.2,151166976.0
MobileNetV2,3,Cache-Based,1.35,0.7300000000000001,1.2837218244325135e-06,105676.8,128974848.0
MobileNetV2,4,Static,1.0,1.0,1.204475246008347e-07,47104.0,53542912.0
MobileNetV2,4,Double Buffer,1.18,0.8300000000000001,1.4511749951907796e-07,42393.6,48267264.0
MobileNetV2,4,Unified Buffer,0.86,1.145,1.0519434462954996e-07,44748.799999999996,50905087.99999999
MobileNetV2,4,Cache-Based,1.35,0.7300000000000001,1.649966090422393e-07,37683.200000000004,42991616.00000001
EfficientDet-Lite0,1,Static,1.0,1.0,6.815937875566239e-07,126720.0,151142400.0
EfficientDet-Lite0,1,Double Buffer,1.18,0.8160000000000001,8.352865043586076e-07,114048.0,136949760.0
EfficientDet-Lite0,1,Unified Buffer,0.86,1.138,5.989400593643444e-07,120384.0,144046080.0
EfficientDet-Lite0,1,Cache-Based,1.35,0.7140000000000001,9.546131478384085e-07,101376.0,122757120.0
EfficientDet-Lite0,2,Static,1.0,1.0,8.468642315644383e-07,64640.0,77004800.0
EfficientDet-Lite0,2,Double Buffer,1.18,0.8160000000000001,1.0378238131917135e-06,58176.0,69765120.0
EfficientDet-Lite0,2,Unified Buffer,0.86,1.138,7.44168920531141e-07,61408.0,73384960.0
EfficientDet-Lite0,2,Cache-Based,1.35,0.7140000000000001,1.1860843579333868e-06,51712.0,62525440.0
EfficientDet-Lite0,3,Static,1.0,1.0,1.2305381351158513e-07,55296.0,62750720.0
EfficientDet-Lite0,3,Double Buffer,1.18,0.8160000000000001,1.5080124204851114e-07,49766.4,56557568.0
EfficientDet-Lite0,3,Unified Buffer,0.86,1.138,1.0813164631949485e-07,52531.2,59654144.0
EfficientDet-Lite0,3,Cache-Based,1.35,0.7140000000000001,1.723442766268699e-07,44236.8,50364416.0
EfficientDet-Lite0,4,Static,1.0,1.0,5.936948906872811e-07,92928.0,107765760.0
EfficientDet-Lite0,4,Double Buffer,1.18,0.8160000000000001,7.27567267999119e-07,83635.2,97357824.0
EfficientDet-Lite0,4,Unified Buffer,0.86,1.138,5.217002554369781e-07,88281.59999999999,102561791.99999999
EfficientDet-Lite0,4,Cache-Based,1.35,0.7140000000000001,8.315054491418501e-07,74342.40000000001,86949888.00000001
DS-CNN-KWS,1,Static,1.0,1.0,9.517049525816649e-07,51536.0,57946112.0
DS-CNN-KWS,1,Double Buffer,1.18,0.802,1.186664529403572e-06,46382.4,52174080.0
DS-CNN-KWS,1,Unified Buffer,0.86,1.131,8.414721066150884e-07,48959.2,55060096.0
DS-CNN-KWS,1,Cache-Based,1.35,0.6980000000000001,1.3634741440998063e-06,41228.8,46402048.0
DS-CNN-KWS,2,Static,1.0,1.0,9.731594524976009e-07,137216.0,168132608.0
DS-CNN-KWS,2,Double Buffer,1.18,0.802,1.2134157761815473e-06,123494.40000000001,152764416.0
DS-CNN-KWS,2,Unified Buffer,0.86,1.131,8.604416025619814e-07,130355.2,160448512.0
DS-CNN-KWS,2,Cache-Based,1.35,0.6980000000000001,1.3942112499965626e-06,109772.8,137396224.0
DS-CNN-KWS,3,Static,1.0,1.0,9.214500244100896e-07,110592.0,130940928.0
DS-CNN-KWS,3,Double Buffer,1.18,0.802,1.1489401800624557e-06,99532.8,118554624.0
DS-CNN-KWS,3,Unified Buffer,0.86,1.131,8.1472150699389e-07,105062.4,124747776.0
DS-CNN-KWS,3,Cache-Based,1.35,0.6980000000000001,1.320128974799555e-06,88473.6,106168320.0
DS-CNN-KWS,4,Static,1.0,1.0,3.291045962848441e-07,159744.0,182452224.0
DS-CNN-KWS,4,Double Buffer,1.18,0.802,4.1035485821052883e-07,143769.6,164560896.0
DS-CNN-KWS,4,Unified Buffer,0.86,1.131,2.9098549627307173e-07,151756.8,173506560.0
DS-CNN-KWS,4,Cache-Based,1.35,0.6980000000000001,4.714965562820116e-07,127795.20000000001,146669568.0
ResNet-18,1,Static,1.0,1.0,1.1013981564844586e-06,438272.0,548667392.0
ResNet-18,1,Double Buffer,1.18,0.8216,1.3405527707941318e-06,394444.8,499580928.0
ResNet-18,1,Unified Buffer,0.86,1.1408,9.654612171147079e-07,416358.39999999997,524124159.99999994
ResNet-18,1,Cache-Based,1.35,0.7204,1.52887028940097e-06,350617.60000000003,450494464.00000006
ResNet-18,2,Static,1.0,1.0,1.6848921341436752e-06,224256.0,280068096.0
