workload,loop_order,weight_acc,input_acc,output_acc,total_acc,norm_offchip,weight_reuse,input_reuse,tag
MobileNetV2,K→C→KH→KW→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
MobileNetV2,C→K→KH→KW→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
MobileNetV2,H_in→W_in→K→C→KH→KW,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
MobileNetV2,KH→KW→C→K→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
MobileNetV2,C→KH→KW→K→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
MobileNetV2,K→H_in→W_in→C→KH→KW,4608,4096,6272,14976,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,K→C→KH→KW→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,C→K→KH→KW→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,H_in→W_in→K→C→KH→KW,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,KH→KW→C→K→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,C→KH→KW→K→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
EfficientDet-Lite0,K→H_in→W_in→C→KH→KW,4608,6400,10368,21376,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,K→C→KH→KW→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,C→K→KH→KW→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,H_in→W_in→K→C→KH→KW,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,KH→KW→C→K→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,C→KH→KW→K→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
DS-CNN-KWS,K→H_in→W_in→C→KH→KW,4608,3072,4224,11904,1.0,1.0,1.0,Best Loop Order
ResNet-18,K→C→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
ResNet-18,C→K→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
ResNet-18,H_in→W_in→K→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
ResNet-18,KH→KW→C→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
ResNet-18,C→KH→KW→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
ResNet-18,K→H_in→W_in→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0,Best Loop Order
TinyBERT,K→C→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
TinyBERT,C→K→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
TinyBERT,H_in→W_in→K→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
TinyBERT,KH→KW→C→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
TinyBERT,C→KH→KW→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
TinyBERT,K→H_in→W_in→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0,Best Loop Order
U-Net,K→C→KH→KW→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
U-Net,C→K→KH→KW→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
U-Net,H_in→W_in→K→C→KH→KW,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
U-Net,KH→KW→C→K→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
U-Net,C→KH→KW→K→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
U-Net,K→H_in→W_in→C→KH→KW,9216,32768,28800,70784,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,K→C→KH→KW→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,C→K→KH→KW→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,H_in→W_in→K→C→KH→KW,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,KH→KW→C→K→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,C→KH→KW→K→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
SSD-MobileNet,K→H_in→W_in→C→KH→KW,9216,3200,2048,14464,1.0,1.0,1.0,Best Loop Order
