workload,layer_idx,scheme,dram_traffic,norm_energy,weight_reuse,input_reuse
MobileNetV2,1,Baseline,222600.0,1.0,1.0,1.0
MobileNetV2,1,Basic Tiling,135395.0,0.6082434860736747,1.0,16.0
MobileNetV2,1,Optimized Blocking,131771.5,0.5919654088050315,28.444444444444443,24.0
MobileNetV2,2,Baseline,215040.0,1.0,1.0,1.0
MobileNetV2,2,Basic Tiling,111274.66666666667,0.5174603174603175,1.0,48.0
MobileNetV2,2,Optimized Blocking,98581.33333333333,0.45843253968253966,64.0,384.0
MobileNetV2,3,Baseline,831744.0,1.0,1.0,1.0
MobileNetV2,3,Basic Tiling,432672.0,0.5201985226223453,1.0,48.0
MobileNetV2,3,Optimized Blocking,108672.0,0.1306555863342567,64.0,24.0
MobileNetV2,4,Baseline,282624.0,1.0,1.0,1.0
MobileNetV2,4,Basic Tiling,93184.0,0.32971014492753625,1.0,32.0
MobileNetV2,4,Optimized Blocking,66048.0,0.23369565217391305,64.0,768.0
EfficientDet-Lite0,1,Baseline,791808.0,1.0,1.0,1.0
EfficientDet-Lite0,1,Basic Tiling,313369.6,0.39576462980924665,1.0,20.0
EfficientDet-Lite0,1,Optimized Blocking,257742.4,0.32551123504688007,44.44444444444444,320.0
EfficientDet-Lite0,2,Baseline,408000.0,1.0,1.0,1.0
EfficientDet-Lite0,2,Basic Tiling,196980.0,0.4827941176470588,1.0,32.0
EfficientDet-Lite0,2,Optimized Blocking,105741.6,0.25917058823529415,100.0,32.0
EfficientDet-Lite0,3,Baseline,331776.0,1.0,1.0,1.0
EfficientDet-Lite0,3,Basic Tiling,121984.0,0.36766975308641975,1.0,32.0
EfficientDet-Lite0,3,Optimized Blocking,102663.84,0.30943721064814816,100.0,1024.0
EfficientDet-Lite0,4,Baseline,574464.0,1.0,1.0,1.0
EfficientDet-Lite0,4,Basic Tiling,346688.0,0.6034982174688057,1.0,64.0
EfficientDet-Lite0,4,Optimized Blocking,64148.479999999996,0.11166666666666666,25.0,32.0
DS-CNN-KWS,1,Baseline,310020.0,1.0,1.0,1.0
DS-CNN-KWS,1,Basic Tiling,203122.75,0.6551924069414876,1.0,32.0
DS-CNN-KWS,1,Optimized Blocking,200830.50510204083,0.6477985455842875,196.0,32.0
DS-CNN-KWS,2,Baseline,874752.0,1.0,1.0,1.0
DS-CNN-KWS,2,Basic Tiling,355504.0,0.4064054726368159,1.0,32.0
DS-CNN-KWS,2,Optimized Blocking,207704.4387755102,0.237443799814702,21.77777777777778,1024.0
DS-CNN-KWS,3,Baseline,689664.0,1.0,1.0,1.0
DS-CNN-KWS,3,Basic Tiling,394256.0,0.5716638827023014,1.0,64.0
DS-CNN-KWS,3,Optimized Blocking,106528.0,0.15446362286562731,48.0,32.0
DS-CNN-KWS,4,Baseline,986112.0,1.0,1.0,1.0
DS-CNN-KWS,4,Basic Tiling,615072.0,0.6237344236760125,1.0,64.0
DS-CNN-KWS,4,Optimized Blocking,75072.0,0.07612928348909657,12.0,32.0
ResNet-18,1,Baseline,2717184.0,1.0,1.0,1.0
ResNet-18,1,Basic Tiling,1465776.0,0.5394467213114754,1.0,32.0
ResNet-18,1,Optimized Blocking,805349.7346938775,0.2963913134678688,87.11111111111111,1024.0
ResNet-18,2,Baseline,1390080.0,1.0,1.0,1.0
ResNet-18,2,Basic Tiling,699920.0,0.5035105893186004,1.0,64.0
ResNet-18,2,Optimized Blocking,410112.6530612245,0.2950280941105724,196.0,32.0
ResNet-18,3,Baseline,2267136.0,1.0,1.0,1.0
ResNet-18,3,Basic Tiling,1381376.0,0.6093044263775971,1.0,128.0
ResNet-18,3,Optimized Blocking,228874.44897959183,0.10095311837472117,49.0,32.0
ResNet-18,4,Baseline,7352832.0,1.0,1.0,1.0
ResNet-18,4,Basic Tiling,4819268.0,0.6554301798273101,1.0,256.0
ResNet-18,4,Optimized Blocking,486839.1836734694,0.06621111208218404,12.25,64.0
TinyBERT,1,Baseline,884736.0,1.0,1.0,1.0
TinyBERT,1,Basic Tiling,524544.0,0.5928819444444444,1.0,256.0
TinyBERT,1,Optimized Blocking,270368.0,0.30559172453703703,32.0,2048.0
TinyBERT,2,Baseline,884736.0,1.0,1.0,1.0
TinyBERT,2,Basic Tiling,331776.0,0.375,1.0,64.0
TinyBERT,2,Optimized Blocking,73856.0,0.08347800925925926,32.0,2048.0
TinyBERT,3,Baseline,294912.0,1.0,1.0,1.0
TinyBERT,3,Basic Tiling,132096.0,0.4479166666666667,1.0,64.0
TinyBERT,3,Optimized Blocking,67648.0,0.22938368055555555,32.0,1024.0
TinyBERT,4,Baseline,884736.0,1.0,1.0,1.0
TinyBERT,4,Basic Tiling,524544.0,0.5928819444444444,1.0,256.0
TinyBERT,4,Optimized Blocking,270368.0,0.30559172453703703,32.0,2048.0
U-Net,1,Baseline,1602456.0,1.0,1.0,1.0
U-Net,1,Basic Tiling,1577136.75,0.9841997221764591,1.0,32.0
U-Net,1,Optimized Blocking,1049122.75,0.6546967592245903,1024.0,32.0
U-Net,2,Baseline,1672704.0,1.0,1.0,1.0
U-Net,2,Basic Tiling,823824.0,0.4925103305785124,1.0,64.0
U-Net,2,Optimized Blocking,534688.0,0.31965488215488214,256.0,32.0
U-Net,3,Baseline,1723392.0,1.0,1.0,1.0
U-Net,3,Basic Tiling,575552.0,0.33396464646464646,1.0,32.0
U-Net,3,Optimized Blocking,273090.0,0.15846075646167557,28.444444444444443,1024.0
U-Net,4,Baseline,2569728.0,1.0,1.0,1.0
U-Net,4,Basic Tiling,1001568.0,0.3897564255827854,1.0,16.0
U-Net,4,Optimized Blocking,527114.0,0.20512443340306835,113.77777777777777,512.0
SSD-MobileNet,1,Baseline,333888.0,1.0,1.0,1.0
SSD-MobileNet,1,Basic Tiling,167908.0,0.5028871957063447,1.0,32.0
