workload,loop_order,weight_acc,input_acc,output_acc,total_acc,norm_offchip,weight_reuse,input_reuse
MobileNetV2,K→C→KH→KW→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0
MobileNetV2,C→K→KH→KW→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0
MobileNetV2,H_in→W_in→K→C→KH→KW,4608,4096,6272,14976,1.0,1.0,1.0
MobileNetV2,KH→KW→C→K→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0
MobileNetV2,C→KH→KW→K→H_in→W_in,4608,4096,6272,14976,1.0,1.0,1.0
MobileNetV2,K→H_in→W_in→C→KH→KW,4608,4096,6272,14976,1.0,1.0,1.0
EfficientDet-Lite0,K→C→KH→KW→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0
EfficientDet-Lite0,C→K→KH→KW→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0
EfficientDet-Lite0,H_in→W_in→K→C→KH→KW,4608,6400,10368,21376,1.0,1.0,1.0
EfficientDet-Lite0,KH→KW→C→K→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0
EfficientDet-Lite0,C→KH→KW→K→H_in→W_in,4608,6400,10368,21376,1.0,1.0,1.0
EfficientDet-Lite0,K→H_in→W_in→C→KH→KW,4608,6400,10368,21376,1.0,1.0,1.0
DS-CNN-KWS,K→C→KH→KW→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0
DS-CNN-KWS,C→K→KH→KW→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0
DS-CNN-KWS,H_in→W_in→K→C→KH→KW,4608,3072,4224,11904,1.0,1.0,1.0
DS-CNN-KWS,KH→KW→C→K→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0
DS-CNN-KWS,C→KH→KW→K→H_in→W_in,4608,3072,4224,11904,1.0,1.0,1.0
DS-CNN-KWS,K→H_in→W_in→C→KH→KW,4608,3072,4224,11904,1.0,1.0,1.0
ResNet-18,K→C→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
ResNet-18,C→K→KH→KW→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
ResNet-18,H_in→W_in→K→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0
ResNet-18,KH→KW→C→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
ResNet-18,C→KH→KW→K→H_in→W_in,9216,6272,4608,20096,1.0,1.0,1.0
ResNet-18,K→H_in→W_in→C→KH→KW,9216,6272,4608,20096,1.0,1.0,1.0
TinyBERT,K→C→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
TinyBERT,C→K→KH→KW→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
TinyBERT,H_in→W_in→K→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0
TinyBERT,KH→KW→C→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
TinyBERT,C→KH→KW→K→H_in→W_in,1024,1024,1024,3072,1.0,1.0,1.0
TinyBERT,K→H_in→W_in→C→KH→KW,1024,1024,1024,3072,1.0,1.0,1.0
U-Net,K→C→KH→KW→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0
U-Net,C→K→KH→KW→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0
U-Net,H_in→W_in→K→C→KH→KW,9216,32768,28800,70784,1.0,1.0,1.0
U-Net,KH→KW→C→K→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0
U-Net,C→KH→KW→K→H_in→W_in,9216,32768,28800,70784,1.0,1.0,1.0
U-Net,K→H_in→W_in→C→KH→KW,9216,32768,28800,70784,1.0,1.0,1.0
SSD-MobileNet,K→C→KH→KW→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0
SSD-MobileNet,C→K→KH→KW→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0
SSD-MobileNet,H_in→W_in→K→C→KH→KW,9216,3200,2048,14464,1.0,1.0,1.0
SSD-MobileNet,KH→KW→C→K→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0
SSD-MobileNet,C→KH→KW→K→H_in→W_in,9216,3200,2048,14464,1.0,1.0,1.0
SSD-MobileNet,K→H_in→W_in→C→KH→KW,9216,3200,2048,14464,1.0,1.0,1.0
