run,kind,layer,dataflow,layout,memory,array,passed,estimated_cycles_python,actual_cycles_rtl_total,rtl_invocations,actual_cycles_per_invocation,agreement_est_vs_total_pct,agreement_est_vs_per_invocation_pct
mnist_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/mnist_cnn/layer_00,OS,CHANNEL_MAJOR,STAMP,8x8,True,120,68952,676,102.0,0.17,85.0
mnist_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/mnist_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,165,161898,242,669.0,0.1,24.66
mnist_cnn_layer_02_OS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/mnist_cnn/layer_02,OS,CHANNEL_MAJOR,STAMP,8x8,True,1957,34890,2,17445.0,5.61,11.22
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/tiny_cnn/layer_00,IS,CHANNEL_MAJOR,STAMP,8x8,True,68,1337472,7776,172.0,0.01,39.53
tiny_cnn_layer_00_OS_CHANNEL_MAJOR_PAGED_8x8_b4,single_dnn,models/tiny_cnn/layer_00,OS,CHANNEL_MAJOR,PAGED,8x8,True,48,9468,36,263.0,0.51,18.25
tiny_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/tiny_cnn/layer_00,OS,CHANNEL_MAJOR,STAMP,8x8,True,48,9504,36,264.0,0.51,18.18
tiny_cnn_layer_00_OS_COLUMN_MAJOR_STAMP_8x8_b4,single_dnn,models/tiny_cnn/layer_00,OS,COLUMN_MAJOR,STAMP,8x8,True,48,9504,36,264.0,0.51,18.18
tiny_cnn_layer_00_OS_ROW_MAJOR_STAMP_8x8_b4,single_dnn,models/tiny_cnn/layer_00,OS,ROW_MAJOR,STAMP,8x8,True,48,9504,36,264.0,0.51,18.18
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x1_b4,single_dnn,models/tiny_cnn/layer_00,WS,CHANNEL_MAJOR,STAMP,8x1,True,140,24192,864,28.0,0.58,20.0
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x2_b4,single_dnn,models/tiny_cnn/layer_00,WS,CHANNEL_MAJOR,STAMP,8x2,False,127,24192,864,28.0,0.52,22.05
tiny_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,single_dnn,models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,309,2613,1,2613.0,11.83,11.83
multi_AIMT_8x8,multi_dnn,models/tiny_cnn/layer_00;models/mnist_cnn/layer_00;models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,477,2986,3,995.3,15.97,
multi_BATCHDNN_8x8,multi_dnn,models/tiny_cnn/layer_00;models/mnist_cnn/layer_00;models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,477,2986,3,995.3,15.97,
multi_BATCHDNN_PP_8x8,multi_dnn,models/tiny_cnn/layer_00;models/mnist_cnn/layer_00;models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,477,2986,3,995.3,15.97,
multi_FIFO_8x8,multi_dnn,models/tiny_cnn/layer_00;models/mnist_cnn/layer_00;models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,477,2984,3,994.7,15.99,
multi_LIFO_8x8,multi_dnn,models/tiny_cnn/layer_00;models/mnist_cnn/layer_00;models/tiny_cnn/layer_01,OS,CHANNEL_MAJOR,STAMP,8x8,True,477,2984,3,994.7,15.99,
