config,estimated_cycles,actual_cycles_per_invocation,agreement_pct,source
mnist L0 IS 8x8,690.0,79.0,11.45,"est=model, actual=measured (RTL)"
mnist L0 OS 8x8,120.0,123.0,97.56,"est=model, actual=measured (RTL)"
mnist L0 WS 8x8,683.0,43.0,6.3,"est=model, actual=measured (RTL)"
mnist L1 OS 8x8,165.0,690.0,23.91,"est=model, actual=measured (RTL)"
mnist L2 OS 8x8,1957.0,17466.0,11.2,"est=model, actual=measured (RTL)"
tiny L0 IS 8x8,68.0,187.0,36.36,"est=model, actual=measured (RTL)"
tiny L0 OS 8x8 PAGED,48.0,284.0,16.9,"est=model, actual=measured (RTL)"
tiny L0 OS 8x8,48.0,285.0,16.84,"est=model, actual=measured (RTL)"
tiny L0 OS 8x8 Column,48.0,285.0,16.84,"est=model, actual=measured (RTL)"
tiny L0 OS 8x8 Row,48.0,285.0,16.84,"est=model, actual=measured (RTL)"
tiny L0 WS 8x1,140.0,36.0,25.71,"est=model, actual=measured (RTL)"
tiny L0 WS 8x2,127.0,37.0,29.13,"est=model, actual=measured (RTL)"
tiny L0 WS 8x8,117.0,43.0,36.75,"est=model, actual=measured (RTL)"
tiny L1 OS 8x8,309.0,2634.0,11.73,"est=model, actual=measured (RTL)"
