dataflow,memory,mem_layout,array_size,spad_depth,mean_norm_traffic
WS,PAGED,COLUMN_MAJOR,2,16384,0.7644285954892015
IS,STAMP,ROW_MAJOR,8,16384,0.7644285954892015
IS,STAMP,ROW_MAJOR,4,16384,0.7644285954892015
IS,STAMP,ROW_MAJOR,2,16384,0.7644285954892015
OS,STAMP,CHANNEL_MAJOR,2,16384,0.7644285954892015
OS,STAMP,CHANNEL_MAJOR,4,16384,0.7644285954892015
WS,STAMP,COLUMN_MAJOR,2,16384,0.7644285954892015
WS,PAGED,COLUMN_MAJOR,16,16384,0.7644285954892015
WS,PAGED,COLUMN_MAJOR,32,16384,0.7644285954892015
OS,STAMP,CHANNEL_MAJOR,8,16384,0.7644285954892015
OS,STAMP,CHANNEL_MAJOR,16,16384,0.7644285954892015
IS,PAGED,ROW_MAJOR,32,16384,0.7644285954892015
IS,PAGED,ROW_MAJOR,16,16384,0.7644285954892015
IS,PAGED,ROW_MAJOR,8,16384,0.7644285954892015
IS,PAGED,ROW_MAJOR,4,16384,0.7644285954892015
IS,PAGED,ROW_MAJOR,2,16384,0.7644285954892015
IS,STAMP,ROW_MAJOR,16,16384,0.7644285954892015
WS,STAMP,COLUMN_MAJOR,8,16384,0.7644285954892015
WS,STAMP,COLUMN_MAJOR,4,16384,0.7644285954892015
OS,STAMP,CHANNEL_MAJOR,32,16384,0.7644285954892015
