goal,mix,mix_name,n_tasks,winner,tied_with,value,runner_up,excluded
turnaround,mix1,Workload mix 1,3,HRRN,SJF;SRTF,"26,323 cyc",AIMT,
turnaround,mix2,Workload mix 2,4,SJF,SRTF,"28,268 cyc",HRRN,
turnaround,mix3,Workload mix 3,3,SJF,SRTF,"90,493 cyc",AIMT,
turnaround,mix4,Workload mix 4,4,SJF,SRTF,"20,034 cyc",LIFO,
turnaround,mix5,Workload mix 5,2,AIMT,BATCHDNN;BATCHDNN_PP;EDF;FIFO;HRRN;LRU;MLFQ;MLQ;RR;SJF;SRTF,"67,326 cyc",LIFO,
turnaround,mix6,Workload mix 6,6,AIMT,BATCHDNN;BATCHDNN_PP;EDF;FIFO;HRRN;LRU;MLFQ;MLQ;RR;SJF;SRTF,"54,870 cyc",LIFO,
turnaround_us,mix1,Workload mix 1,3,MLQ,,327.0 us,FIFO,BATCHDNN_PP
turnaround_us,mix2,Workload mix 2,4,MLQ,,410.7 us,FIFO,BATCHDNN_PP
turnaround_us,mix3,Workload mix 3,3,MLQ,,985.6 us,FIFO,BATCHDNN_PP
turnaround_us,mix4,Workload mix 4,4,LIFO,,197.6 us,PRI,BATCHDNN_PP
turnaround_us,mix5,Workload mix 5,2,MLQ,,599.0 us,FIFO,BATCHDNN_PP
turnaround_us,mix6,Workload mix 6,6,MLQ,,488.2 us,FIFO,BATCHDNN_PP
wait,mix1,Workload mix 1,3,HRRN,SJF;SRTF,"6,791 cyc",AIMT,
wait,mix2,Workload mix 2,4,SJF,SRTF,"7,259 cyc",HRRN,
wait,mix3,Workload mix 3,3,SJF,SRTF,"23,956 cyc",AIMT,
wait,mix4,Workload mix 4,4,SJF,SRTF,"3,518 cyc",LIFO,
wait,mix5,Workload mix 5,2,AIMT,BATCHDNN;BATCHDNN_PP;EDF;FIFO;HRRN;LRU;MLFQ;MLQ;RR;SJF;SRTF,810 cyc,LIFO,
wait,mix6,Workload mix 6,6,AIMT,BATCHDNN;BATCHDNN_PP;EDF;FIFO;HRRN;LRU;MLFQ;MLQ;RR;SJF;SRTF,"19,121 cyc",LIFO,
throughput,mix1,Workload mix 1,3,MLQ,,"5,755 tasks/s",LIFO,BATCHDNN_PP
throughput,mix2,Workload mix 2,4,MLQ,,"5,350 tasks/s",LIFO,BATCHDNN_PP
throughput,mix3,Workload mix 3,3,MLQ,,"1,689 tasks/s",LIFO,BATCHDNN_PP
throughput,mix4,Workload mix 4,4,MLQ,,"6,806 tasks/s",LIFO,BATCHDNN_PP
throughput,mix5,Workload mix 5,2,MLQ,,"1,690 tasks/s",LIFO,BATCHDNN_PP
throughput,mix6,Workload mix 6,6,MLQ,,"3,144 tasks/s",LIFO,BATCHDNN_PP
area,mix1,Workload mix 1,3,MLQ,,755 LUT,FIFO,BATCHDNN_PP
area,mix2,Workload mix 2,4,MLQ,,755 LUT,FIFO,BATCHDNN_PP
area,mix3,Workload mix 3,3,MLQ,,755 LUT,FIFO,BATCHDNN_PP
area,mix4,Workload mix 4,4,MLQ,,755 LUT,FIFO,BATCHDNN_PP
area,mix5,Workload mix 5,2,MLQ,,755 LUT,FIFO,BATCHDNN_PP
area,mix6,Workload mix 6,6,MLQ,,755 LUT,FIFO,BATCHDNN_PP
power,mix1,Workload mix 1,3,MLQ,,0.008 W,FIFO,BATCHDNN_PP
power,mix2,Workload mix 2,4,MLQ,,0.008 W,FIFO,BATCHDNN_PP
power,mix3,Workload mix 3,3,MLQ,,0.008 W,FIFO,BATCHDNN_PP
power,mix4,Workload mix 4,4,MLQ,,0.008 W,FIFO,BATCHDNN_PP
power,mix5,Workload mix 5,2,MLQ,,0.008 W,FIFO,BATCHDNN_PP
power,mix6,Workload mix 6,6,MLQ,,0.008 W,FIFO,BATCHDNN_PP
