rank,scheduler,dispatch_order,makespan_cycles,mean_turnaround_cycles,mean_wait_cycles,max_turnaround_cycles,max_wait_cycles,luts,ffs,power_dynamic_w,fmax_mhz_post_synth,mean_turnaround_us,throughput_tasks_per_s,energy_uJ,weighted,hw_status,timing_source,hw_source,note
1,MLQ,0->1,2599,1478.0,178.5,2599,357,755,490,0.008,112.4,13.15,86494.8,0.185,3.0000,ok,model,measured (Vivado 2025.2 OOC),
2,FIFO,0->1,2599,1478.0,178.5,2599,357,1501,1050,0.011,106.6,13.86,82031.6,0.268,3.0000,ok,model,measured (Vivado 2025.2 OOC),
3,LIFO,1->0,2599,2420.5,1121.0,2599,2242,1516,1050,0.012,111.1,21.79,85494.4,0.281,8.9178,ok,model,measured (Vivado 2025.2 OOC),
4,RR,0->1,2599,1478.0,178.5,2599,357,1594,1070,0.013,93.4,15.82,71873.8,0.362,3.0000,ok,model,measured (Vivado 2025.2 OOC),
5,PRI,1->0,2599,2420.5,1121.0,2599,2242,1663,1050,0.020,41.7,58.05,32089.3,1.247,8.9178,ok,model,measured (Vivado 2025.2 OOC),
6,SRTF,0->1,2599,1478.0,178.5,2599,357,1854,490,0.018,21.1,70.05,16237.0,2.217,3.0000,ok,model,measured (Vivado 2025.2 OOC),
7,SJF,0->1,2599,1478.0,178.5,2599,357,1999,1050,0.018,20.3,72.81,15621.4,2.305,3.0000,ok,model,measured (Vivado 2025.2 OOC),
8,MLFQ,0->1,2599,1478.0,178.5,2599,357,2295,1044,0.024,90.9,16.26,69950.0,0.686,3.0000,ok,model,measured (Vivado 2025.2 OOC),
9,EDF,0->1,2599,1478.0,178.5,2599,357,2374,1050,0.024,19.0,77.79,14621.0,3.283,3.0000,ok,model,measured (Vivado 2025.2 OOC),
10,LRU,0->1,2599,1478.0,178.5,2599,357,3035,1594,0.027,19.2,76.98,14774.9,3.655,3.0000,ok,model,measured (Vivado 2025.2 OOC),
11,AIMT,0->1,2599,1478.0,178.5,2599,357,3417,6565,0.025,86.7,17.05,66718.0,0.749,3.0000,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
excluded,HRRN,0->1,2599,1478.0,178.5,2599,357,,,,,,,,3.0000,unavailable,model,measured (Vivado 2025.2 OOC),does not synthesise: real number expression not supported [rtl/schedulers/advanced_task_scheduler.sv:180]
excluded,BATCHDNN,0->1,2599,1478.0,178.5,2599,357,,,,,,,,3.0000,unavailable,model,measured (Vivado 2025.2 OOC),does not synthesise: loop condition does not converge after 2000 iterations [rtl/schedulers/batchdnn_scheduler.sv:370]
excluded,BATCHDNN_PP,0->1,2599,1478.0,178.5,2599,357,,,,,,,,3.0000,unavailable,model,measured (Vivado 2025.2 OOC),does not synthesise: loop condition does not converge after 2000 iterations [rtl/schedulers/batchdnn_pp_scheduler.sv:564]
