rank,dataflow,mem_layout,casting,offchip_elements,offchip_bytes,latency_rank,energy_pJ,prefetch_beats,weighted,source
1,OS,CHANNEL_MAJOR,MULTICAST,5584,11168,5649,6263008,5292,3.0000,model
2,WS,COLUMN_MAJOR,MULTICAST,5584,11168,5738,6263008,5292,3.0158,model
3,IS,ROW_MAJOR,MULTICAST,5584,11168,5654,6263008,5292,3.0009,model
4,OS,COLUMN_MAJOR,MULTICAST,5640,11280,5653,6325487,5292,3.0207,model
5,OS,ROW_MAJOR,MULTICAST,5676,11353,5655,6366538,5292,3.0342,model
6,WS,CHANNEL_MAJOR,MULTICAST,5791,11582,5762,6494669,5292,3.0941,model
7,WS,ROW_MAJOR,MULTICAST,5967,11934,5783,6692192,5292,3.1609,model
8,IS,COLUMN_MAJOR,MULTICAST,6433,12866,5676,7213727,5292,3.3086,model
9,IS,CHANNEL_MAJOR,MULTICAST,6960,13921,5690,7804472,5292,3.4999,model
10,OS,CHANNEL_MAJOR,HYBRID,31540,63080,31605,35333728,31248,16.8847,model
11,WS,COLUMN_MAJOR,HYBRID,31540,63080,31694,35333728,31248,16.9005,model
12,IS,ROW_MAJOR,HYBRID,31540,63080,31610,35333728,31248,16.8856,model
13,OS,COLUMN_MAJOR,HYBRID,31596,63192,31609,35396207,31248,16.9054,model
14,OS,ROW_MAJOR,HYBRID,31632,63265,31611,35437258,31248,16.9190,model
15,WS,CHANNEL_MAJOR,HYBRID,31747,63494,31718,35565389,31248,16.9788,model
16,WS,ROW_MAJOR,HYBRID,31923,63846,31739,35762912,31248,17.0457,model
17,IS,COLUMN_MAJOR,HYBRID,39064,78129,31632,43761062,31248,19.5826,model
18,IS,CHANNEL_MAJOR,HYBRID,43772,87545,31646,49034086,31248,21.2701,model
19,OS,CHANNEL_MAJOR,UNICAST,48676,97352,48741,54526048,48384,26.0513,model
20,WS,COLUMN_MAJOR,UNICAST,48676,97352,48830,54526048,48384,26.0671,model
21,IS,ROW_MAJOR,UNICAST,48676,97352,48746,54526048,48384,26.0522,model
22,OS,COLUMN_MAJOR,UNICAST,48732,97464,48745,54588527,48384,26.0720,model
23,OS,ROW_MAJOR,UNICAST,48768,97537,48747,54629578,48384,26.0856,model
24,WS,CHANNEL_MAJOR,UNICAST,50331,100661,48854,56379334,48384,26.6636,model
25,WS,ROW_MAJOR,UNICAST,51742,103483,48875,57959520,48384,27.1724,model
26,IS,COLUMN_MAJOR,UNICAST,56200,112401,48768,62953382,48384,28.7492,model
27,IS,CHANNEL_MAJOR,UNICAST,60908,121817,48782,68226406,48384,30.4367,model
