rank,dataflow,mem_layout,casting,offchip_elements,offchip_bytes,latency_rank,energy_pJ,prefetch_beats,weighted,source
1,OS,CHANNEL_MAJOR,MULTICAST,81666,163332,76458,91673344,74312,3.0000,model
2,WS,COLUMN_MAJOR,MULTICAST,81666,163332,78034,91673344,74312,3.0206,model
3,IS,ROW_MAJOR,MULTICAST,81666,163332,77142,91673344,74312,3.0089,model
4,OS,COLUMN_MAJOR,MULTICAST,83702,167404,76486,93953630,74312,3.0502,model
5,WS,CHANNEL_MAJOR,MULTICAST,84700,169400,78207,95071189,74312,3.0971,model
6,OS,ROW_MAJOR,MULTICAST,84941,169881,76504,95340868,74312,3.0807,model
7,WS,ROW_MAJOR,MULTICAST,87282,174564,78357,97963443,74312,3.1622,model
8,IS,COLUMN_MAJOR,MULTICAST,93111,186223,77220,104492107,74312,3.2899,model
9,IS,CHANNEL_MAJOR,MULTICAST,100225,200450,77269,112459198,74312,3.4646,model
10,OS,CHANNEL_MAJOR,HYBRID,861306,1722612,856098,964870144,853952,32.2688,model
11,WS,COLUMN_MAJOR,HYBRID,861306,1722612,857674,964870144,853952,32.2894,model
12,IS,ROW_MAJOR,HYBRID,861306,1722612,856782,964870144,853952,32.2777,model
13,OS,COLUMN_MAJOR,HYBRID,863342,1726684,856126,967150430,853952,32.3189,model
14,WS,CHANNEL_MAJOR,HYBRID,864340,1728680,857847,968267989,853952,32.3658,model
15,OS,ROW_MAJOR,HYBRID,864581,1729161,856144,968537668,853952,32.3495,model
16,WS,ROW_MAJOR,HYBRID,866922,1733844,857997,971160243,853952,32.4310,model
17,IS,COLUMN_MAJOR,HYBRID,1068791,2137582,856860,1197253098,853952,37.3543,model
18,IS,CHANNEL_MAJOR,HYBRID,1198833,2397667,856909,1342900817,853952,40.5360,model
19,OS,CHANNEL_MAJOR,UNICAST,1397946,2795892,1392738,1565906944,1390592,52.4149,model
20,WS,COLUMN_MAJOR,UNICAST,1397946,2795892,1394314,1565906944,1390592,52.4356,model
21,IS,ROW_MAJOR,UNICAST,1397946,2795892,1393422,1565906944,1390592,52.4239,model
22,OS,COLUMN_MAJOR,UNICAST,1399982,2799964,1392766,1568187230,1390592,52.4651,model
23,OS,ROW_MAJOR,UNICAST,1401221,2802441,1392784,1569574468,1390592,52.4956,model
24,WS,CHANNEL_MAJOR,UNICAST,1446487,2892973,1394487,1620272461,1390592,53.6252,model
25,WS,ROW_MAJOR,UNICAST,1487805,2975609,1394637,1666548531,1390592,54.6379,model
26,IS,COLUMN_MAJOR,UNICAST,1605431,3210862,1393500,1798289898,1390592,57.5005,model
27,IS,CHANNEL_MAJOR,UNICAST,1735473,3470947,1393549,1943937617,1390592,60.6822,model
