rank,dataflow,mem_layout,casting,offchip_elements,offchip_bytes,latency_rank,energy_pJ,prefetch_beats,weighted,source
1,OS,CHANNEL_MAJOR,MULTICAST,104202,208404,99090,116913664,96848,7.0000,model
2,OS,COLUMN_MAJOR,MULTICAST,106238,212476,99138,119193950,96848,7.0415,model
3,OS,ROW_MAJOR,MULTICAST,107477,214953,99168,120581188,96848,7.0667,model
4,WS,COLUMN_MAJOR,MULTICAST,104202,208404,100947,116913664,96848,7.0937,model
5,IS,ROW_MAJOR,MULTICAST,104202,208404,101686,116913664,96848,7.1310,model
6,WS,CHANNEL_MAJOR,MULTICAST,108718,217436,101147,121971618,96848,7.1904,model
7,WS,ROW_MAJOR,MULTICAST,112526,225053,101320,126236902,96848,7.2722,model
8,IS,COLUMN_MAJOR,MULTICAST,116389,232779,101826,130563436,96848,7.3718,model
9,IS,CHANNEL_MAJOR,MULTICAST,123997,247994,101914,139083889,96848,7.5221,model
10,OS,CHANNEL_MAJOR,HYBRID,570010,1140020,564898,638618624,562656,39.4368,model
11,OS,COLUMN_MAJOR,HYBRID,572046,1144092,564946,640898910,562656,39.4783,model
12,OS,ROW_MAJOR,HYBRID,573285,1146569,564976,642286148,562656,39.5036,model
13,WS,COLUMN_MAJOR,HYBRID,570010,1140020,566755,638618624,562656,39.5305,model
14,IS,ROW_MAJOR,HYBRID,570010,1140020,567494,638618624,562656,39.5678,model
15,WS,CHANNEL_MAJOR,HYBRID,574526,1149052,566955,643676578,562656,39.6272,model
16,WS,ROW_MAJOR,HYBRID,578334,1156669,567128,647941862,562656,39.7090,model
17,IS,COLUMN_MAJOR,HYBRID,686049,1372099,567634,768582840,562656,41.8001,model
18,IS,CHANNEL_MAJOR,HYBRID,759259,1518518,567722,850577329,562656,43.2084,model
19,OS,CHANNEL_MAJOR,UNICAST,935354,1870708,930242,1047803904,928000,64.8778,model
20,OS,COLUMN_MAJOR,UNICAST,937390,1874780,930290,1050084190,928000,64.9193,model
21,OS,ROW_MAJOR,UNICAST,938629,1877257,930320,1051471428,928000,64.9445,model
22,WS,COLUMN_MAJOR,UNICAST,935354,1870708,932099,1047803904,928000,64.9715,model
23,IS,ROW_MAJOR,UNICAST,935354,1870708,932838,1047803904,928000,65.0088,model
24,WS,CHANNEL_MAJOR,UNICAST,971482,1942964,932299,1088267533,928000,65.6744,model
25,WS,ROW_MAJOR,UNICAST,1001949,2003897,932472,1122389811,928000,66.2674,model
26,IS,COLUMN_MAJOR,UNICAST,1051393,2102787,932978,1177768120,928000,67.2411,model
27,IS,CHANNEL_MAJOR,UNICAST,1124603,2249206,933066,1259762609,928000,68.6494,model
