rank,dataflow,mem_layout,casting,offchip_elements,offchip_bytes,latency_rank,energy_pJ,prefetch_beats,weighted,source
1,IS,ROW_MAJOR,MULTICAST,10480,20960,10550,11746528,10188,3.0000,model
2,IS,COLUMN_MAJOR,MULTICAST,10696,21392,10572,11988239,10188,3.0433,model
3,IS,CHANNEL_MAJOR,MULTICAST,10835,21670,10586,12143897,10188,3.0711,model
4,OS,CHANNEL_MAJOR,MULTICAST,10480,20960,10639,11746528,10188,3.0084,model
5,OS,COLUMN_MAJOR,MULTICAST,10536,21072,10651,11809007,10188,3.0202,model
6,OS,ROW_MAJOR,MULTICAST,10572,21145,10659,11850058,10188,3.0279,model
7,WS,COLUMN_MAJOR,MULTICAST,10480,20960,10909,11746528,10188,3.0340,model
8,WS,CHANNEL_MAJOR,MULTICAST,11258,22516,10950,12617933,10188,3.1863,model
9,WS,ROW_MAJOR,MULTICAST,11912,23824,10986,13350368,10188,3.3145,model
10,IS,ROW_MAJOR,UNICAST,19300,38600,19370,21624928,19008,5.5186,model
11,IS,ROW_MAJOR,HYBRID,19300,38600,19370,21624928,19008,5.5186,model
12,IS,COLUMN_MAJOR,UNICAST,21027,42053,19392,23558612,19008,5.8501,model
13,IS,COLUMN_MAJOR,HYBRID,21027,42053,19392,23558612,19008,5.8501,model
14,IS,CHANNEL_MAJOR,UNICAST,22138,44277,19406,24803876,19008,6.0635,model
15,IS,CHANNEL_MAJOR,HYBRID,22138,44277,19406,24803876,19008,6.0635,model
16,OS,CHANNEL_MAJOR,UNICAST,19300,38600,19459,21624928,19008,5.5270,model
17,OS,CHANNEL_MAJOR,HYBRID,19300,38600,19459,21624928,19008,5.5270,model
18,OS,COLUMN_MAJOR,UNICAST,19356,38712,19471,21687407,19008,5.5388,model
19,OS,COLUMN_MAJOR,HYBRID,19356,38712,19471,21687407,19008,5.5388,model
20,OS,ROW_MAJOR,UNICAST,19392,38785,19479,21728458,19008,5.5465,model
21,OS,ROW_MAJOR,HYBRID,19392,38785,19479,21728458,19008,5.5465,model
22,WS,COLUMN_MAJOR,UNICAST,19300,38600,19729,21624928,19008,5.5526,model
23,WS,COLUMN_MAJOR,HYBRID,19300,38600,19729,21624928,19008,5.5526,model
24,WS,CHANNEL_MAJOR,UNICAST,20078,40156,19770,22496333,19008,5.7049,model
25,WS,CHANNEL_MAJOR,HYBRID,20078,40156,19770,22496333,19008,5.7049,model
26,WS,ROW_MAJOR,UNICAST,20732,41464,19806,23228768,19008,5.8331,model
27,WS,ROW_MAJOR,HYBRID,20732,41464,19806,23228768,19008,5.8331,model
