workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
MobileNetV2,1,mv2_init,OS,ROW_MAJOR,OS-RM,16,16384,16,4,51449.6,203,0.7142857142857143,8716.610837438424,1.401743679163034,6621408.0
MobileNetV2,1,mv2_init,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,45879.04,181,0.8011049723756906,9776.088397790056,1.2499738448125546,5952208.0
MobileNetV2,1,mv2_init,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,36704.0,145,1.0,12203.255172413794,1.0,4850688.0
MobileNetV2,1,mv2_init,IS,ROW_MAJOR,IS-RM,16,16384,16,4,36704.0,1083,0.13388734995383195,1633.8614958448754,1.0,4850688.0
MobileNetV2,1,mv2_init,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,37072.8875,1093,0.13266239707227814,1618.9130832570906,1.010050335113339,4894928.0
MobileNetV2,1,mv2_init,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,37318.79375,1101,0.13169845594913715,1607.149863760218,1.016750047678727,4924048.0
MobileNetV2,1,mv2_init,WS,ROW_MAJOR,WS-RM,16,16384,16,4,36874.56,3095,0.046849757673667204,571.7195476575121,1.0046469049694855,4870848.0
MobileNetV2,1,mv2_init,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,36704.0,3081,0.04706264199935086,574.317429406037,1.0,4850688.0
MobileNetV2,1,mv2_init,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,36801.28,3089,0.04694075752670767,572.8300420848171,1.0026503923278116,4861888.0
MobileNetV2,2,mv2_expand,OS,ROW_MAJOR,OS-RM,16,16384,16,4,41984.0,80,0.8625,19660.8,1.1714285714285715,15171056.0
MobileNetV2,2,mv2_expand,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,39444.48,75,0.92,20971.52,1.1005714285714288,14277296.0
MobileNetV2,2,mv2_expand,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,35840.0,69,1.0,22795.130434782608,1.0,13008896.0
MobileNetV2,2,mv2_expand,IS,ROW_MAJOR,IS-RM,16,16384,16,4,35840.0,453,0.152317880794702,3472.1059602649007,1.0,13008896.0
MobileNetV2,2,mv2_expand,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,36851.19999999999,465,0.14838709677419354,3382.5032258064516,1.0282142857142855,13364496.0
MobileNetV2,2,mv2_expand,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,37523.2,474,0.14556962025316456,3318.278481012658,1.0469642857142856,13601376.0
MobileNetV2,2,mv2_expand,WS,ROW_MAJOR,WS-RM,16,16384,16,4,36669.44,8398,0.008216241962371994,187.2903072160038,1.0231428571428571,13300656.0
MobileNetV2,2,mv2_expand,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,35840.0,8209,0.00840540869777074,191.60238762334023,1.0,13008896.0
MobileNetV2,2,mv2_expand,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,36339.2,8323,0.008290279947134447,188.9780127357924,1.0139285714285713,13184176.0
MobileNetV2,3,mv2_dw,OS,ROW_MAJOR,OS-RM,16,16384,16,4,138240.0,942,0.9564755838641189,45082.08917197452,1.0465116279069768,136639792.0
MobileNetV2,3,mv2_dw,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,135700.48,925,0.9740540540540541,45910.62486486486,1.0272868217054265,134324752.0
MobileNetV2,3,mv2_dw,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,132096.0,901,1.0,47133.549389567146,1.0,131039232.0
MobileNetV2,3,mv2_dw,IS,ROW_MAJOR,IS-RM,16,16384,16,4,132096.0,5445,0.1654729109274564,7799.325619834711,1.0,131039232.0
MobileNetV2,3,mv2_dw,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,135298.56,5577,0.1615563923256231,7614.726196880043,1.0242441860465117,133958512.0
MobileNetV2,3,mv2_dw,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,137414.4,5664,0.15907485875706215,7497.762711864407,1.0402616279069767,135887152.0
MobileNetV2,3,mv2_dw,WS,ROW_MAJOR,WS-RM,16,16384,16,4,144906.24,27320,0.032979502196193264,1554.4409956076136,1.0969767441860465,142716912.0
MobileNetV2,3,mv2_dw,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,132096.0,24905,0.03617747440273038,1705.1727765508933,1.0,131039232.0
MobileNetV2,3,mv2_dw,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,138984.96000000002,26203,0.03438537572033737,1620.7048047933442,1.0521511627906979,137319072.0
MobileNetV2,4,mv2_proj,OS,ROW_MAJOR,OS-RM,16,16384,16,4,52019.19999999999,146,0.910958904109589,21546.08219178082,1.1043478260869564,38782992.0
MobileNetV2,4,mv2_proj,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,50053.119999999995,141,0.9432624113475178,22310.127659574468,1.0626086956521739,37346592.0
MobileNetV2,4,mv2_proj,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,47104.0,133,1.0,23652.09022556391,1.0,35192832.0
MobileNetV2,4,mv2_proj,IS,ROW_MAJOR,IS-RM,16,16384,16,4,47104.0,645,0.2062015503875969,4877.097674418605,1.0,35192832.0
MobileNetV2,4,mv2_proj,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,50306.56,688,0.1933139534883721,4572.279069767442,1.0679891304347826,37531952.0
MobileNetV2,4,mv2_proj,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,52422.399999999994,717,0.18549511854951187,4387.347280334728,1.112907608695652,39077552.0
MobileNetV2,4,mv2_proj,WS,ROW_MAJOR,WS-RM,16,16384,16,4,48189.44000000001,25171,0.005283858408485956,124.97429581661436,1.0230434782608697,35985232.0
MobileNetV2,4,mv2_proj,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,47104.0,24605,0.005405405405405406,127.84913635439952,1.0,35192832.0
MobileNetV2,4,mv2_proj,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,47708.16,24920,0.0053370786516853935,126.2330658105939,1.0128260869565218,35634112.0
