Configuration,Run type,Workload / layer,Stationary scheme,Memory layout,Casting scheme,Memory backend,Array size (PEs),Output elements compared (count),Elements within tolerance (count),"Worst element (row, col, channel)","Measured value, RTL (activation units (dimensionless))","Golden value, TensorFlow (activation units (dimensionless))",Absolute error (activation units (dimensionless)),Full-scale reference (activation units (dimensionless)),Tolerance (activation units (dimensionless)),Relative error (% of full scale),Tolerance (% of full scale),Safety margin (times below tolerance),Result,Data source
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x8_b4_f1probe,debug probe,tiny_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,47,"(4, 4, 7)",-0.7178304977715015,1.6151843070983887,2.33301480486989,2.1950297355651855,0.10975148677825929,106.28625057187098,5.0,0.047042773388821256,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_f4probe,debug probe,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,22,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_f1isprobe,debug probe,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,23,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_isprobe3,debug probe,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,23,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_isprobe,debug probe,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,23,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_isprobe2,debug probe,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,23,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x8_b4_probe,debug probe,tiny_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,288,22,"(4, 5, 5)",0.0,-2.1950297355651855,2.1950297355651855,2.1950297355651855,0.10975148677825929,100.0,5.0,0.05,FAIL,measured (RTL) vs golden (TensorFlow)
mnist_cnn_layer_02_OS_CHANNEL_MAJOR_STAMP_8x8_b4,validation,mnist_cnn/layer_02,OS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,10,10,"(0, 0, 8)",-2.005136225372553,-2.006291389465332,0.0011551640927791595,2.313277006149292,0.11566385030746461,0.04993626313270883,5.0,100.12763643751593,PASS,measured (RTL) vs golden (TensorFlow)
mnist_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,validation,mnist_cnn/layer_01,OS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,1936,1936,"(0, 3, 12)",1.0227602608501911,1.0232738256454468,0.000513564795255661,2.6730117797851562,0.13365058898925783,0.019212964160484874,5.0,260.24094763490234,PASS,measured (RTL) vs golden (TensorFlow)
tiny_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,validation,tiny_cnn/layer_01,OS,CHANNEL_MAJOR,MULTICAST,STAMP,8x8,4,4,"(0, 0, 3)",-0.280439093708992,-0.2799933850765228,0.00044570863246917725,2.6554057598114014,0.13277028799057009,0.016784953893480798,5.0,297.8858346427736,PASS,measured (RTL) vs golden (TensorFlow)
