Workload / layer,Metric,Unit,STAMP (static tagless),PAGED (dynamic page table),STAMP vs PAGED (%),Better scheme,Source
tiny_cnn L0,Off-chip traffic,AXI beats,2246.0,1836.0,+22.3,PAGED,measured (RTL counters)
tiny_cnn L0,Off-chip traffic,bytes,17968.0,14688.0,+22.3,PAGED,measured (RTL counters)
tiny_cnn L0,Off-chip requests,AXI read bursts,157.0,138.0,+13.8,PAGED,measured (RTL counters)
tiny_cnn L0,Compute time,cycles,6316.0,5802.0,+8.9,PAGED,measured (RTL counters)
tiny_cnn L0,Control/setup overhead,cycles,41.0,2.0,+1950.0,PAGED,measured (RTL counters)
tiny_cnn L0,Bank conflicts,events,2.0,84.0,-97.6,STAMP,measured (RTL counters)
tiny_cnn L0,Bank-conflict stalls,port-cycles,4.0,240.0,-98.3,STAMP,measured (RTL counters)
tiny_cnn L0,Runtime lookup misses,events,0.0,294.0,-100.0,STAMP,measured (RTL counters)
tiny_cnn L0,Numerical error vs golden,% of full scale,0.013185,0.013185,,identical,measured (RTL counters)
mnist_cnn L0,Off-chip traffic,AXI beats,11470.0,10608.0,+8.1,PAGED,measured (RTL counters)
mnist_cnn L0,Off-chip traffic,bytes,91760.0,84864.0,+8.1,PAGED,measured (RTL counters)
mnist_cnn L0,Off-chip requests,AXI read bursts,945.0,832.0,+13.6,PAGED,measured (RTL counters)
mnist_cnn L0,Compute time,cycles,38440.0,36608.0,+5.0,PAGED,measured (RTL counters)
mnist_cnn L0,Control/setup overhead,cycles,527.0,2.0,+26250.0,PAGED,measured (RTL counters)
mnist_cnn L0,Bank conflicts,events,101.0,232.0,-56.5,STAMP,measured (RTL counters)
mnist_cnn L0,Bank-conflict stalls,port-cycles,202.0,488.0,-58.6,STAMP,measured (RTL counters)
mnist_cnn L0,Runtime lookup misses,events,0.0,102.0,-100.0,STAMP,measured (RTL counters)
mnist_cnn L0,Numerical error vs golden,% of full scale,0.008926,0.008926,,identical,measured (RTL counters)
