Configuration,Workload / layer,Stationary scheme,Memory layout,Casting scheme,Array size (PEs),Execution time (clock cycles),Off-chip read bursts (AXI AR requests),Off-chip data transferred (AXI beats),Relative error (% of full scale),Data source
mnist_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4_ismnist,mnist_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,8x8,32136,832,10608,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4_HYBRID,mnist_cnn/layer_00,OS,CHANNEL_MAJOR,HYBRID,8x8,309400,53872,67392,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4,mnist_cnn/layer_00,OS,CHANNEL_MAJOR,MULTICAST,8x8,36712,832,10608,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4_UNICAST,mnist_cnn/layer_00,OS,CHANNEL_MAJOR,UNICAST,8x8,570232,105872,119808,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_OS_COLUMN_MAJOR_STAMP_8x8_b4,mnist_cnn/layer_00,OS,COLUMN_MAJOR,MULTICAST,8x8,85696,14248,14976,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_OS_ROW_MAJOR_STAMP_8x8_b4,mnist_cnn/layer_00,OS,ROW_MAJOR,MULTICAST,8x8,47320,1456,14976,0.008926121660597022,measured (RTL)
mnist_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x8_b4_wsmnist,mnist_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,8x8,226434,6448,80964,0.008926121660597022,measured (RTL)
mnist_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,mnist_cnn/layer_01,OS,CHANNEL_MAJOR,MULTICAST,8x8,110176,2640,35904,0.019212964160484874,measured (RTL)
mnist_cnn_layer_02_OS_CHANNEL_MAJOR_STAMP_8x8_b4,mnist_cnn/layer_02,OS,CHANNEL_MAJOR,MULTICAST,8x8,162470,5082,50336,0.04993626313270883,measured (RTL)
tiny_cnn_layer_00_IS_CHANNEL_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_00,IS,CHANNEL_MAJOR,MULTICAST,8x8,5220,138,1836,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4_HYBRID,tiny_cnn/layer_00,OS,CHANNEL_MAJOR,HYBRID,8x8,53004,9318,11664,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_00,OS,CHANNEL_MAJOR,MULTICAST,8x8,5808,138,1836,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_OS_CHANNEL_MAJOR_STAMP_8x8_b4_UNICAST,tiny_cnn/layer_00,OS,CHANNEL_MAJOR,UNICAST,8x8,98130,18312,20736,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_OS_COLUMN_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_00,OS,COLUMN_MAJOR,MULTICAST,8x8,10776,1794,1836,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_OS_ROW_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_00,OS,ROW_MAJOR,MULTICAST,8x8,10776,1794,1836,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x1_b4,tiny_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,8x1,122616,4536,43254,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x2_b4,tiny_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,8x2,127062,4536,45360,0.013185482145351465,measured (RTL)
tiny_cnn_layer_00_WS_CHANNEL_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_00,WS,CHANNEL_MAJOR,MULTICAST,8x8,153738,4536,57996,0.013185482145351465,measured (RTL)
tiny_cnn_layer_01_OS_CHANNEL_MAJOR_STAMP_8x8_b4,tiny_cnn/layer_01,OS,CHANNEL_MAJOR,MULTICAST,8x8,11780,360,3456,0.016784953893480798,measured (RTL)
